,Activity,Start,End,Day
0,3,10:20,10:25,1
1,2,10:25,10:30,1
2,6,10:30,10:35,1
3,2,10:45,11:00,1
4,3,11:00,13:25,1
5,2,13:35,14:05,1
6,6,14:10,14:49,1
7,7,14:49,15:30,1
8,0,15:30,17:10,1
9,2,17:10,18:12,1
10,2,18:15,18:23,1
11,3,18:38,19:00,1
12,3,19:15,21:48,1
13,3,21:49,21:55,1
14,3,21:55,24:00,1
15,3,00:01,00:26,2
16,6,00:26,00:48,2
17,3,00:48,01:57,2
18,2,01:57,02:13,2
19,2,02:13,02:20,2
20,2,02:31,03:04,2
21,2,02:50,02:53,2
22,7,03:08,03:16,2
23,0,03:16,08:18,2
24,2,08:19,08:35,2
25,2,09:03,09:23,2
26,9,10:30,10:35,1
27,9,14:56,14:57,1
28,9,17:26,17:27,1
29,6,17:10,17:15,1
30,9,19:33,19:40,1
31,6,20:52,20:58,1
32,11,00:26,00:48,2
33,12,02:50,02:53,2
34,12,08:19,08:35,2
