,Axis1,Axis2,Axis3,Steps,HR,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude,day,time
39,53,61,106,1,213.0,0,1,0,0,133.29,1,09:18:39
40,34,0,21,0,213.0,0,1,0,0,39.96,1,09:18:40
41,0,0,35,0,213.0,0,0,1,0,35.0,1,09:18:41
42,0,0,4,0,213.0,0,0,1,0,4.0,1,09:18:42
43,0,0,0,0,213.0,0,0,1,0,0.0,1,09:18:43
44,0,0,0,0,213.0,0,0,1,0,0.0,1,09:18:44
61,0,0,0,0,79.0,0,0,0,1,0.0,1,09:19:01
62,0,0,0,0,78.0,0,0,0,1,0.0,1,09:19:02
63,0,0,0,0,77.0,0,0,0,1,0.0,1,09:19:03
64,0,0,0,0,76.0,0,0,0,1,0.0,1,09:19:04
65,92,87,36,1,75.0,0,1,0,0,131.64,1,09:19:05
66,48,92,63,1,75.0,0,1,0,0,121.4,1,09:19:06
67,16,74,2,0,76.0,0,1,0,0,75.74,1,09:19:07
68,0,44,2,0,78.0,0,0,1,0,44.05,1,09:19:08
69,48,6,35,0,78.0,0,1,0,0,59.71,1,09:19:09
70,98,116,75,1,78.0,0,1,0,0,169.37,1,09:19:10
71,117,127,43,2,79.0,0,1,0,0,177.95,1,09:19:11
72,54,112,119,0,80.0,0,1,0,0,172.11,1,09:19:12
73,112,108,81,1,80.0,0,1,0,0,175.41,1,09:19:13
74,117,130,100,1,78.0,0,1,0,0,201.47,1,09:19:14
75,198,179,285,1,78.0,0,1,0,0,390.47,1,09:19:15
76,207,107,63,0,77.0,0,1,0,0,241.39,1,09:19:16
77,130,62,95,1,78.0,0,1,0,0,172.54,1,09:19:17
78,56,68,88,1,79.0,0,1,0,0,124.52,1,09:19:18
79,57,46,65,0,80.0,0,1,0,0,97.93,1,09:19:19
80,79,80,31,0,80.0,0,1,0,0,116.63,1,09:19:20
81,36,31,73,0,78.0,0,1,0,0,87.1,1,09:19:21
82,70,56,76,1,78.0,0,1,0,0,117.52,1,09:19:22
83,48,0,62,0,78.0,0,1,0,0,78.41,1,09:19:23
84,24,22,91,2,75.0,0,1,0,0,96.65,1,09:19:24
85,34,39,23,0,75.0,0,1,0,0,56.62,1,09:19:25
86,74,66,107,0,75.0,0,1,0,0,145.88,1,09:19:26
87,42,44,44,0,75.0,0,1,0,0,75.07,1,09:19:27
96,0,0,45,0,71.0,0,1,0,0,45.0,1,09:19:36
97,0,0,8,0,70.0,0,1,0,0,8.0,1,09:19:37
98,0,0,2,0,69.0,0,1,0,0,2.0,1,09:19:38
99,5,37,17,1,69.0,0,0,1,0,41.02,1,09:19:39
100,1,24,29,0,69.0,0,0,1,0,37.66,1,09:19:40
101,101,66,76,0,69.0,0,1,0,0,142.59,1,09:19:41
102,165,149,118,2,67.0,0,1,0,0,251.69,1,09:19:42
103,44,35,60,0,67.0,0,1,0,0,82.23,1,09:19:43
104,34,64,41,1,67.0,0,1,0,0,83.26,1,09:19:44
105,48,53,70,0,68.0,0,1,0,0,100.06,1,09:19:45
106,41,62,21,2,69.0,0,1,0,0,77.24,1,09:19:46
107,29,81,47,1,69.0,0,1,0,0,98.04,1,09:19:47
108,80,142,101,1,69.0,0,1,0,0,191.74,1,09:19:48
109,52,135,107,0,70.0,0,1,0,0,179.94,1,09:19:49
110,100,187,107,1,70.0,0,1,0,0,237.52,1,09:19:50
111,35,186,131,0,69.0,0,1,0,0,230.18,1,09:19:51
