time,env_temperature,env_pressure,altitude,env_humidity,env_co2
0.0,26.56,973.31,344.63,23.94,470
1.0,26.56,973.28,344.39,23.98,470
2.0,26.56,973.31,344.15,23.6,470
3.0,26.56,973.31,344.15,24.59,470
4.0,26.54,973.28,344.43,24.12,470
5.0,26.55,973.23,344.36,24.02,470
6.0,26.55,973.29,344.36,23.9,470
7.0,26.56,973.28,344.39,23.59,470
8.0,26.56,973.31,344.15,23.73,470
9.0,26.56,973.28,344.39,23.61,470
10.0,26.56,973.3,344.05,23.27,470
11.0,26.56,973.26,344.63,23.59,470
12.0,26.56,973.28,344.39,23.5,465
13.0,26.56,973.26,344.63,23.81,465
14.0,26.55,973.25,344.7,23.59,465
15.0,26.56,973.31,344.15,23.5,465
16.0,26.56,973.26,344.63,23.03,465
17.0,26.56,973.25,344.7,23.46,465
18.0,26.56,973.31,344.15,22.98,465
19.0,26.54,973.28,344.43,23.3,465
20.0,26.55,973.23,344.84,23.41,465
21.0,26.54,973.28,344.67,23.41,465
22.0,26.54,973.28,344.43,23.37,465
23.0,26.55,973.23,344.84,23.8,465
24.0,26.55,973.23,344.91,23.5,465
25.0,26.54,973.31,344.19,23.36,465
26.0,26.54,973.25,344.67,23.05,465
27.0,26.54,973.28,344.43,23.42,465
28.0,26.55,973.29,344.36,22.98,465
29.0,26.55,973.29,344.36,23.43,465
30.0,26.55,973.29,344.29,23.44,465
31.0,26.55,973.29,344.19,22.61,465
32.0,26.55,973.29,344.29,23.42,465
33.0,26.55,973.26,344.6,23.26,465
34.0,26.56,973.24,344.77,23.61,465
35.0,26.56,973.3,344.22,23.4,465
36.0,26.56,973.2,344.53,23.01,465
37.0,26.55,973.29,344.29,23.36,465
38.0,26.56,973.37,343.67,23.47,465
39.0,26.56,973.3,344.22,23.27,465
40.0,26.56,973.26,344.63,23.35,465
41.0,26.56,973.28,344.63,23.84,465
42.0,26.57,973.29,344.32,23.32,465
43.0,26.57,973.26,344.56,23.82,475
44.0,26.56,973.31,344.15,23.3,475
45.0,26.57,973.24,344.66,22.96,475
46.0,26.59,973.29,344.35,23.3,475
47.0,26.59,973.23,344.59,22.92,475
48.0,26.57,973.26,344.56,23.29,475
49.0,26.58,973.25,344.66,23.91,475
50.0,26.59,973.27,344.49,23.5,475
51.0,26.59,973.29,344.35,23.29,475
52.0,26.59,973.27,344.28,22.99,475
53.0,26.6,973.3,344.21,23.26,475
54.0,26.6,973.25,344.69,23.17,475
55.0,26.6,973.36,343.73,23.22,475
56.0,26.6,973.36,343.73,23.27,475
57.0,26.59,973.3,343.97,23.14,475
58.0,26.59,973.3,344.28,23.26,475
59.0,26.6,973.25,344.69,24.11,475
60.0,26.6,973.32,344.07,23.52,475
61.0,26.6,973.28,344.45,23.28,475
62.0,26.61,973.32,344.55,22.98,475
63.0,26.6,973.3,344.21,23.28,475
64.0,26.61,973.32,344.07,23.05,475
65.0,26.62,973.28,344.41,23.27,475
66.0,26.61,973.26,344.55,23.16,475
67.0,26.61,973.38,343.59,22.94,475
68.0,26.61,973.32,344.07,23.33,475
69.0,26.61,973.3,344.24,22.83,475
70.0,26.61,973.28,344.41,23.69,475
71.0,26.62,973.22,344.89,23.45,475
72.0,26.62,973.23,344.41,23.96,475
73.0,26.62,973.29,344.34,23.46,475
74.0,26.63,973.32,344.03,23.45,475
75.0,26.62,973.34,343.93,23.45,475
76.0,26.64,973.31,344.75,22.59,475
77.0,26.64,973.31,344.13,23.43,475
78.0,26.64,973.31,344.13,23.67,475
79.0,26.63,973.3,344.2,23.41,475
80.0,26.63,973.25,344.68,23.41,475
81.0,26.63,973.28,344.2,23.4,475
82.0,26.64,973.34,343.9,23.4,475
83.0,26.63,973.3,344.27,23.55,475
84.0,26.63,973.28,344.38,23.75,475
85.0,26.62,973.26,344.58,23.32,475
86.0,26.62,973.28,344.89,23.01,475
87.0,26.63,973.32,344.03,23.3,475
88.0,26.64,973.26,344.61,22.79,475
89.0,26.65,973.33,344.13,23.59,475
90.0,26.64,973.31,344.13,23.3,475
91.0,26.64,973.28,344.13,23.2,475
92.0,26.63,973.3,344.2,23.23,475
93.0,26.63,973.25,344.68,23.29,475
94.0,26.64,973.32,344.13,23.95,475
95.0,26.62,973.22,344.89,23.3,475
96.0,26.63,973.33,343.97,22.58,475
97.0,26.62,973.34,343.8,23.4,475
98.0,26.63,973.25,344.68,23.29,475
99.0,26.63,973.28,344.44,23.17,475
100.0,26.63,973.3,344.27,23.23,475
101.0,26.63,973.3,344.27,23.3,475
102.0,26.63,973.3,344.27,23.65,475
103.0,26.63,973.3,344.2,23.29,475
104.0,26.64,973.31,344.13,23.07,475
105.0,26.64,973.28,344.44,22.98,476
106.0,26.64,973.28,344.38,23.36,476
