time,linaccel_x,linaccel_y,linaccel_z,gravity_x,gravity_y,gravity_z,gyro_x,gyro_y,gyro_z,euler_x,euler_y,euler_z,quaternion_w,quaternion_y,quaternion_x,quaternion_z
0.0,-0.03527777777777779,-0.05916666666666669,-0.0011111111111111113,-4.41611111111111,-0.3297222222222223,8.74222222222222,0.06597222222222222,1.4340277777777777,-0.23958333333333334,101.41319444444444,-26.76909722222222,2.1666666666666665,-0.6157887766666668,-0.16038004583333326,-0.16828918416666663,0.7528347444444444
1.0,-0.04305555555555557,-0.05805555555555557,-0.004814814814814814,-4.477037037037036,-0.3252777777777779,8.71185185185185,-0.04513888888888888,0.25115740740740733,0.052083333333333315,101.41550925925927,-27.16261574074074,2.1446759259259256,-0.6152326783333334,-0.16230943509259255,-0.17097134101851846,0.752270735
2.0,-0.051785714285714296,-0.05900793650793652,-0.011746031746031747,-4.4012698412698406,-0.3111507936507938,8.749682539682535,0.12053571428571426,-0.22966269841269843,-0.07291666666666666,101.38740079365078,-26.667906746031747,2.042162698412698,-0.6160241978571429,-0.15907844646825392,-0.16821022646825395,0.7529262964285715
3.0,-0.05525238095238097,-0.05999417989417991,-0.015843386243386246,-4.395411640211641,-0.3152608465608467,8.753661375661373,-0.008511904761904762,0.1480621693121693,0.005972222222222233,101.4122156084656,-26.62978505291005,2.052056878306878,-0.6159796336666667,-0.15893712888518516,-0.16792425867566133,0.753059242638095
4.0,-0.06558806963645675,-0.07275704045058884,-0.023150025601638508,-4.41899846390169,-0.3095348182283667,8.741879160266254,-0.004118663594470048,0.3341877880184332,-0.09478046594982079,101.3822548643113,-26.788605670762927,2.0126440092165896,-0.615937130842294,-0.15954972601971323,-0.16910579584664615,0.7527009824951356
5.0,-0.06218919610855095,-0.07054966717869945,-0.017435227854582694,-4.453540450588838,-0.31934178187404,8.723699436763951,-0.056886840757808504,0.06511136712749617,0.06310483870967742,101.4362551203277,-27.01272241423451,2.089655337941628,-0.6152547897401434,-0.16110420865053765,-0.1703163436267281,0.7526523560862776
6.0,-0.053784434203789054,-0.06988658474142347,-0.013771377368151563,-4.480483358934972,-0.33540040962621603,8.70924910394265,-0.09041378648233488,0.023297491039426514,0.10485791090629801,101.44919514848951,-27.190426587301587,2.203040194572452,-0.6149691757268305,-0.1627400794126984,-0.17093650709421399,0.7523939721262161
7.0,-0.049894009216589874,-0.06752841781874042,-0.011200204813108038,-4.473395801331286,-0.3414905273937531,8.7131146953405,-0.05273937532002048,-0.18402777777777776,0.10440028161802355,101.41134152585765,-27.133435739887354,2.249033538146441,-0.6153096015238095,-0.16283121797695854,-0.17031606294674856,0.7522418029313878
8.0,-0.05554813108038915,-0.07120558115719407,-0.012311827956989246,-4.452195084485408,-0.3396525857654889,8.723700204813106,-0.03247567844342038,-0.13378296210957502,0.09220910138248847,101.39132424475164,-26.996166154633894,2.242713133640553,-0.6156412460665643,-0.1620771777268305,-0.1693991758251408,0.7523385145568355
9.0,-0.05502073732718896,-0.06977547363031236,-0.015552227342549924,-4.419978238607271,-0.34217383512544797,8.73981362007168,0.10265616999487967,-0.25481950844854073,-0.048539106502816176,101.42958109318997,-26.791717869943675,2.2517025089605736,-0.6156206312196622,-0.16095252281080386,-0.16804381897107012,0.7529006231326163
