time,AF3/theta,AF3/alpha,AF3/betaL,AF3/betaH,AF3/gamma,T7/theta,T7/alpha,T7/betaL,T7/betaH,T7/gamma,Pz/theta,Pz/alpha,Pz/betaL,Pz/betaH,Pz/gamma,T8/theta,T8/alpha,T8/betaL,T8/betaH,T8/gamma,AF4/theta,AF4/alpha,AF4/betaL,AF4/betaH,AF4/gamma
0.0,1201.5978750000002,204.207875,51.67675,14.894999999999996,6.82225,901.942625,151.77762500000003,72.69274999999999,33.718625,27.25825,2345.88475,421.80150000000003,243.70649999999995,75.76509375,13.044374999999999,600.4780312500001,61.643249999999995,29.453375,13.928875000000001,19.066875,1343.62775,186.03375,61.22924999999999,18.293,7.0065
1.0,1270.3937083333335,157.5367083333333,40.44783333333333,18.46308333333333,5.8494166666666665,840.7204583333335,115.67520833333333,43.69983333333333,30.763125000000002,42.423500000000004,1548.6833333333334,277.2078333333333,133.7985,49.531447916666664,9.594958333333333,502.09317708333333,44.835833333333326,24.406708333333334,14.566374999999997,23.57095833333333,1298.1670833333333,143.66966666666664,46.946,18.53483333333333,5.959416666666666
2.0,1164.8318749999999,115.92408928571427,39.25871428571429,16.55960714285714,4.355892857142857,701.9370535714286,77.88073214285714,33.78664285714285,23.37719642857143,37.426,897.1637142857141,194.42292857142857,64.84771428571428,22.880477678571427,5.221982142857143,413.5435758928571,39.17328571428571,21.128732142857142,19.079446428571426,37.07539285714286,1179.878392857143,100.77964285714285,39.08928571428571,15.935642857142856,4.40775
3.0,661.6388083333334,68.55870833333333,20.22186666666667,10.082483333333332,2.8930833333333332,401.5193583333333,46.72434166666666,21.305766666666667,16.910358333333335,23.60413333333333,497.95439999999996,110.18256666666667,33.36906666666666,11.653089583333333,3.2042583333333337,234.38720208333334,26.420066666666667,12.255741666666667,16.338141666666665,30.023983333333334,672.08005,58.817899999999995,20.851266666666668,10.215766666666667,3.2165500000000002
4.0,371.359745967742,38.07827822580645,11.012064516129032,5.635717741935483,1.846975806451613,202.97772177419355,25.560229838709677,13.47208064516129,12.429334677419355,17.251032258064516,293.54012903225805,72.98659677419354,20.301161290322582,7.249301411290324,2.5005120967741936,118.40942036290322,15.913,8.454971774193549,12.468842741935482,20.618379032258066,369.63299193548386,33.8331129032258,12.261903225806451,5.728016129032258,2.1640725806451613
5.0,218.94519758064519,25.18436693548387,8.774407258064517,3.7547782258064513,1.3506774193548388,93.65991532258063,13.903314516129031,9.06054435483871,9.104302419354838,13.020383064516132,180.55495564516127,46.94475806451612,10.79783064516129,5.896504032258065,2.5923790322580644,56.48887096774194,9.41270564516129,6.804625,10.717633064516129,13.186239919354838,222.25637096774193,26.621625,10.26306048387097,3.801217741935484,1.6579314516129031
6.0,125.41692741935483,21.452681451612904,6.37253629032258,2.941790322580645,1.2008387096774193,46.366354838709675,10.464689516129031,6.952282258064516,7.3035483870967735,9.618673387096774,80.12533870967741,21.448120967741936,6.016326612903226,3.8940806451612904,1.854540322580645,31.81448790322581,6.602479838709677,5.458387096774194,7.5844758064516125,7.633652217741935,132.31475403225807,27.533528225806453,7.199266129032258,3.8452580645161287,1.3120645161290323
7.0,51.831455645161284,11.287137096774192,4.111383064516129,2.012701612903226,0.8733266129032258,16.461798387096774,7.53158870967742,7.601306451612902,6.152197580645161,6.82382258064516,36.55025,10.082024193548385,4.205217741935484,3.394842741935484,1.7963951612903228,12.315770161290324,4.285846774193549,3.5363185483870967,4.888685483870968,3.8368306451612906,56.61000806451612,15.320504032258064,4.618201612903226,3.127495967741935,0.9473225806451613
8.0,40.60926209677419,8.261020161290322,3.199875,1.763141129032258,0.7525806451612903,14.135385080645161,7.811044354838709,7.291540322580644,4.556423387096775,5.339104838709677,20.042701612903226,5.362733870967742,2.4953790322580645,2.3831451612903223,1.5280241935483874,11.623991935483872,3.9142620967741935,2.787258064516129,3.083899193548387,2.379415322580645,44.66467338709678,11.424423387096773,3.733471774193549,2.5981532258064512,0.8691733870967742
9.0,24.237096774193546,6.372012096774194,2.4646169354838707,1.5921693548387097,0.6530282258064516,9.717290322580645,6.694443548387096,4.5832217741935475,4.088399193548387,4.321633064516129,20.077129032258064,4.097635080645161,1.5419637096774192,1.8564637096774192,1.3265806451612905,7.056201612903227,2.67225,2.017181451612903,1.9241209677419353,1.5829233870967743,26.7028064516129,8.112504032258064,2.795520161290323,1.9334516129032255,0.8683709677419355
10.0,54.43955645161291,12.683620967741936,4.704512096774193,2.812653225806452,0.7374677419354838,23.50323991935484,12.51375,4.620717741935484,5.056645161290323,4.923157258064515,2207.4730302419357,285.8855110887097,79.9803064516129,27.76966129032258,17.562451612903224,11.996375,6.724903225806452,2.6589516129032256,1.6117137096774192,1.3171693548387098,63.403852822580646,15.237524193548385,4.318157258064516,2.9513790322580644,0.8528669354838709
11.0,176.26560282258066,19.064439516129035,9.838205645161288,4.38853629032258,0.990383064516129,63.734173387096774,17.862467741935482,7.354403225806452,7.770225806451613,5.723104838709676,7629.69254233871,618.8637641129033,201.35444153225802,56.109161290322575,29.548326612903224,31.731766129032252,10.445479838709677,5.693870967741935,2.234931451612903,2.0960846774193547,189.63440423387098,21.33733870967742,7.683754032258064,4.688548387096774,1.0203387096774192
12.0,127.45808064516129,22.52896370967742,8.766596774193548,4.075193548387096,0.8522580645161291,53.21127822580645,21.648092741935482,6.7536532258064526,7.860306451612903,5.16194758064516,7655.809995967743,704.9818578629033,224.88183770161285,51.49516935483871,28.97666935483871,31.197731854838707,9.337979838709678,4.382495967741935,3.3641370967741935,2.4797540322580645,139.12957661290324,25.495532258064518,8.243379032258066,4.988153225806452,0.9546572580645161
13.0,96.9310120967742,18.066181451612902,7.438326612903226,2.9807540322580643,0.9260241935483872,46.534592741935484,13.022596774193548,6.889663306451613,7.51428629032258,4.3540443548387096,4133.287354838711,412.1393951612904,117.31216028225803,27.49116935483871,15.503346774193549,23.647892137096772,6.980653225806452,5.251717741935485,2.655766129032258,1.7639637096774192,99.75907459677418,19.59344758064516,7.9606471774193555,3.4669314516129033,0.9350987903225805
14.0,521.2681532258064,64.71941532258064,36.52791129032258,15.599883064516128,6.672185483870968,360.57748991935483,44.340552419354836,28.693028225806454,13.141330645161291,13.915314516129033,2175.970524193549,216.91848588709675,63.11508467741934,15.44407258064516,8.82135887096774,167.97728225806452,26.483375,23.084197580645167,8.510645161290322,7.400262096774194,508.1557620967742,75.72524193548387,40.73459677419355,15.044358870967743,6.6603356854838704
