,ibi_s,day,time
1,3.177,1,09:20:37
2,0.498,1,09:20:38
3,0.344,1,09:20:38
4,4.672,1,09:20:43
5,0.287,1,09:20:43
6,0.737,1,09:20:44
7,0.609,1,09:20:44
8,2.091,1,09:20:46
9,0.314,1,09:20:47
10,4.556,1,09:20:51
11,0.683,1,09:20:52
12,0.628,1,09:20:53
13,0.615,1,09:20:53
14,0.652,1,09:20:54
15,0.665,1,09:20:55
16,0.697,1,09:20:55
17,0.719,1,09:20:56
18,0.725,1,09:20:57
19,0.706,1,09:20:57
20,0.684,1,09:20:58
21,0.636,1,09:20:59
22,0.25,1,09:20:59
23,0.575,1,09:20:59
24,1.096,1,09:21:01
25,0.623,1,09:21:01
26,0.567,1,09:21:02
27,0.784,1,09:21:10
28,0.791,1,09:21:10
29,0.766,1,09:21:11
30,2.54,1,09:21:14
31,0.336,1,09:21:14
32,0.701,1,09:21:15
33,0.694,1,09:21:15
34,0.677,1,09:21:16
35,0.669,1,09:21:17
36,0.653,1,09:21:17
37,0.645,1,09:21:18
38,0.645,1,09:21:19
39,0.344,1,09:21:19
40,0.296,1,09:21:19
41,0.637,1,09:21:20
42,0.337,1,09:21:20
43,0.327,1,09:21:21
44,0.482,1,09:21:21
45,0.863,1,09:21:22
46,1.353,1,09:21:23
47,0.679,1,09:21:24
48,0.668,1,09:21:25
49,0.667,1,09:21:25
50,0.659,1,09:21:26
51,0.681,1,09:21:27
52,0.69,1,09:21:27
53,0.695,1,09:21:28
54,0.404,1,09:21:29
55,0.308,1,09:21:29
56,0.277,1,09:21:29
57,0.436,1,09:21:30
58,0.386,1,09:21:30
59,2.868,1,09:21:33
60,0.648,1,09:21:33
61,0.673,1,09:21:34
62,0.687,1,09:21:35
63,0.704,1,09:21:35
64,0.683,1,09:21:43
65,0.655,1,09:21:44
66,0.639,1,09:21:44
67,0.948,1,09:21:45
68,0.309,1,09:21:46
69,0.635,1,09:21:46
70,0.659,1,09:21:47
71,0.348,1,09:21:47
72,1.7069999999999999,1,09:21:49
73,1.403,1,09:21:50
74,0.698,1,09:21:51
75,0.725,1,09:21:52
76,0.772,1,09:21:53
77,0.795,1,09:21:53
78,0.79,1,09:21:54
79,0.765,1,09:21:55
80,0.755,1,09:21:56
81,0.735,1,09:21:56
82,0.692,1,09:21:57
83,0.682,1,09:21:58
84,0.695,1,09:21:58
85,0.749,1,09:21:59
86,0.812,1,09:22:00
87,0.766,1,09:22:01
88,0.738,1,09:22:02
89,0.706,1,09:22:02
90,0.693,1,09:22:03
91,0.672,1,09:22:04
92,0.649,1,09:22:04
93,0.647,1,09:22:05
94,0.663,1,09:22:06
95,0.685,1,09:22:06
96,0.734,1,09:22:07
97,0.733,1,09:22:08
98,0.744,1,09:22:08
99,0.775,1,09:22:16
100,0.746,1,09:22:17
101,0.707,1,09:22:17
102,0.709,1,09:22:18
103,0.721,1,09:22:19
104,0.704,1,09:22:19
105,0.678,1,09:22:20
106,0.669,1,09:22:21
107,0.651,1,09:22:21
108,0.335,1,09:22:22
109,0.266,1,09:22:22
110,0.384,1,09:22:22
111,0.322,1,09:22:23
112,0.669,1,09:22:23
113,0.758,1,09:22:24
114,0.267,1,09:22:24
115,0.417,1,09:22:25
116,0.408,1,09:22:25
117,0.474,1,09:22:26
118,0.787,1,09:22:27
119,0.787,1,09:22:27
120,0.736,1,09:22:28
121,0.705,1,09:22:29
122,0.715,1,09:22:29
123,0.734,1,09:22:30
124,0.754,1,09:22:31
125,0.775,1,09:22:32
126,0.767,1,09:22:33
127,0.802,1,09:22:33
128,0.819,1,09:22:34
129,0.838,1,09:22:35
130,0.984,1,09:22:36
131,0.924,1,09:22:37
132,0.926,1,09:22:38
133,0.896,1,09:22:39
134,0.895,1,09:22:40
135,0.909,1,09:22:41
136,0.888,1,09:22:41
137,0.808,1,09:22:49
138,0.839,1,09:22:50
139,0.814,1,09:22:51
140,0.771,1,09:22:52
141,0.751,1,09:22:52
142,0.719,1,09:22:53
143,0.71,1,09:22:54
144,0.719,1,09:22:54
145,0.754,1,09:22:55
146,0.793,1,09:22:56
147,0.851,1,09:22:57
148,0.974,1,09:22:58
149,0.948,1,09:22:59
150,0.911,1,09:23:00
151,0.872,1,09:23:01
152,0.825,1,09:23:01
153,0.781,1,09:23:02
154,0.772,1,09:23:03
155,0.969,1,09:23:04
156,0.933,1,09:23:05
157,0.883,1,09:23:06
158,0.849,1,09:23:07
159,0.807,1,09:23:07
160,0.715,1,09:23:08
161,0.692,1,09:23:09
162,0.692,1,09:23:09
163,0.697,1,09:23:10
164,0.743,1,09:23:11
165,0.722,1,09:23:12
166,0.719,1,09:23:12
167,0.732,1,09:23:13
168,0.727,1,09:23:14
169,0.827,1,09:23:22
170,0.925,1,09:23:22
171,0.829,1,09:23:23
172,0.792,1,09:23:24
173,0.772,1,09:23:25
174,0.722,1,09:23:26
175,0.696,1,09:23:26
176,0.685,1,09:23:27
177,0.661,1,09:23:28
178,0.658,1,09:23:28
179,0.655,1,09:23:29
180,0.653,1,09:23:30
181,0.647,1,09:23:30
182,0.64,1,09:23:31
183,0.642,1,09:23:32
184,0.656,1,09:23:32
185,0.665,1,09:23:33
186,0.685,1,09:23:34
187,0.689,1,09:23:34
188,0.681,1,09:23:35
189,0.678,1,09:23:36
190,0.691,1,09:23:36
191,0.705,1,09:23:37
192,0.729,1,09:23:38
193,0.746,1,09:23:38
194,0.829,1,09:23:39
195,0.845,1,09:23:40
196,0.736,1,09:23:41
197,0.747,1,09:23:42
198,0.821,1,09:23:42
199,0.896,1,09:23:43
200,0.876,1,09:23:44
201,0.888,1,09:23:45
202,0.868,1,09:23:46
203,0.849,1,09:23:47
204,0.896,1,09:23:58
205,0.886,1,09:23:59
206,0.889,1,09:24:00
207,0.898,1,09:24:01
208,0.87,1,09:24:01
209,0.818,1,09:24:02
210,0.782,1,09:24:03
211,0.754,1,09:24:04
212,0.735,1,09:24:05
213,0.739,1,09:24:05
214,0.717,1,09:24:06
215,0.722,1,09:24:07
216,0.739,1,09:24:07
217,0.772,1,09:24:08
218,0.815,1,09:24:09
219,0.858,1,09:24:10
220,0.834,1,09:24:11
221,0.79,1,09:24:12
222,0.793,1,09:24:12
223,0.807,1,09:24:13
224,0.828,1,09:24:14
225,0.84,1,09:24:15
226,0.854,1,09:24:16
227,0.829,1,09:24:17
228,0.84,1,09:24:17
229,0.839,1,09:24:18
230,0.797,1,09:24:19
231,0.78,1,09:24:20
232,0.805,1,09:24:21
233,0.823,1,09:24:21
234,0.721,1,09:24:22
235,0.739,1,09:24:23
236,0.751,1,09:24:31
237,0.735,1,09:24:31
238,0.733,1,09:24:32
239,0.754,1,09:24:33
240,0.769,1,09:24:34
241,0.807,1,09:24:35
242,0.838,1,09:24:35
243,0.869,1,09:24:36
244,0.836,1,09:24:37
245,0.834,1,09:24:38
246,0.846,1,09:24:39
247,0.854,1,09:24:40
248,0.843,1,09:24:40
249,0.809,1,09:24:41
250,0.804,1,09:24:42
251,0.806,1,09:24:43
252,0.813,1,09:24:44
253,0.817,1,09:24:44
254,0.798,1,09:24:45
255,0.795,1,09:24:46
256,0.811,1,09:24:47
257,0.822,1,09:24:48
258,0.817,1,09:24:49
259,0.811,1,09:24:49
260,0.787,1,09:24:50
261,0.772,1,09:24:51
262,0.755,1,09:24:52
263,0.739,1,09:24:52
264,0.736,1,09:24:53
265,0.739,1,09:24:54
266,0.751,1,09:24:55
267,0.765,1,09:24:55
268,0.756,1,09:24:56
269,0.825,1,09:25:04
270,0.863,1,09:25:04
271,0.884,1,09:25:05
272,0.833,1,09:25:06
273,0.802,1,09:25:07
274,0.771,1,09:25:08
275,0.732,1,09:25:08
276,0.698,1,09:25:09
277,0.687,1,09:25:10
278,0.678,1,09:25:10
279,0.664,1,09:25:11
280,0.675,1,09:25:12
281,0.697,1,09:25:12
282,0.742,1,09:25:13
283,0.74,1,09:25:14
284,0.764,1,09:25:15
285,0.803,1,09:25:16
286,0.831,1,09:25:16
287,0.798,1,09:25:17
288,0.814,1,09:25:18
289,0.798,1,09:25:19
290,0.776,1,09:25:20
291,0.783,1,09:25:20
292,0.798,1,09:25:21
293,0.756,1,09:25:22
294,0.752,1,09:25:23
295,0.757,1,09:25:23
296,0.758,1,09:25:24
297,0.821,1,09:25:25
298,0.836,1,09:25:26
299,0.824,1,09:25:27
300,0.899,1,09:25:28
301,0.909,1,09:25:28
302,0.836,1,09:25:29
303,0.675,1,09:25:37
304,0.679,1,09:25:38
305,0.674,1,09:25:38
306,0.925,1,09:25:39
307,0.833,1,09:25:40
308,0.838,1,09:25:41
309,0.844,1,09:25:42
310,0.841,1,09:25:42
311,0.848,1,09:25:43
312,0.839,1,09:25:44
313,0.832,1,09:25:45
314,0.83,1,09:25:46
315,0.82,1,09:25:47
316,0.82,1,09:25:47
317,0.807,1,09:25:48
318,0.803,1,09:25:49
319,0.809,1,09:25:50
320,0.825,1,09:25:51
321,0.838,1,09:25:52
322,0.824,1,09:25:52
323,0.803,1,09:25:53
324,0.766,1,09:25:54
325,0.771,1,09:25:55
326,0.816,1,09:25:56
327,0.918,1,09:25:56
328,0.969,1,09:25:57
329,0.92,1,09:25:58
330,0.883,1,09:25:59
331,0.876,1,09:26:00
332,0.88,1,09:26:01
333,0.873,1,09:26:02
334,0.825,1,09:26:10
335,0.895,1,09:26:11
336,0.921,1,09:26:12
337,0.931,1,09:26:12
338,0.982,1,09:26:13
339,0.944,1,09:26:14
340,0.899,1,09:26:15
341,0.908,1,09:26:16
342,0.976,1,09:26:17
343,0.961,1,09:26:18
344,0.938,1,09:26:19
345,0.897,1,09:26:20
346,0.907,1,09:26:21
347,0.938,1,09:26:22
348,1.005,1,09:26:23
349,1.019,1,09:26:24
350,1.025,1,09:26:25
351,1.04,1,09:26:26
352,0.988,1,09:26:27
353,0.974,1,09:26:28
354,0.961,1,09:26:29
355,0.877,1,09:26:30
356,0.843,1,09:26:31
357,0.864,1,09:26:31
358,0.951,1,09:26:32
359,1.085,1,09:26:33
360,1.046,1,09:26:35
361,0.962,1,09:26:43
362,0.937,1,09:26:44
363,0.918,1,09:26:45
364,0.886,1,09:26:46
365,0.83,1,09:26:47
366,0.838,1,09:26:48
367,0.892,1,09:26:49
368,0.98,1,09:26:50
369,0.995,1,09:26:51
370,0.986,1,09:26:52
371,0.974,1,09:26:53
372,0.898,1,09:26:54
373,0.898,1,09:26:54
374,0.866,1,09:26:55
375,0.829,1,09:26:56
376,0.81,1,09:26:57
377,0.867,1,09:26:58
378,0.892,1,09:26:59
379,0.896,1,09:27:00
380,0.906,1,09:27:01
381,0.963,1,09:27:01
382,0.94,1,09:27:02
383,0.93,1,09:27:03
384,0.938,1,09:27:04
385,0.922,1,09:27:05
386,0.921,1,09:27:06
387,0.87,1,09:27:07
388,0.837,1,09:27:08
389,0.842,1,09:27:16
390,0.891,1,09:27:17
391,0.921,1,09:27:18
392,0.911,1,09:27:19
393,0.864,1,09:27:19
394,0.845,1,09:27:20
395,0.813,1,09:27:21
396,0.78,1,09:27:22
397,0.743,1,09:27:23
398,0.766,1,09:27:23
399,0.804,1,09:27:24
400,0.882,1,09:27:25
401,0.95,1,09:27:26
402,0.968,1,09:27:27
403,0.956,1,09:27:28
404,0.947,1,09:27:29
405,0.938,1,09:27:30
406,0.893,1,09:27:31
407,0.921,1,09:27:32
408,1.045,1,09:27:33
409,0.991,1,09:27:34
410,0.968,1,09:27:35
411,0.97,1,09:27:36
412,0.983,1,09:27:37
413,0.972,1,09:27:38
414,1.005,1,09:27:39
415,0.939,1,09:27:39
416,0.916,1,09:27:40
417,0.909,1,09:27:41
418,0.904,1,09:27:49
419,0.91,1,09:27:50
420,0.849,1,09:27:51
421,0.853,1,09:27:52
422,0.858,1,09:27:53
423,0.869,1,09:27:54
424,0.86,1,09:27:54
425,0.883,1,09:27:55
426,0.885,1,09:27:56
427,0.867,1,09:27:57
428,0.891,1,09:27:58
429,0.896,1,09:27:59
430,0.852,1,09:28:00
431,0.875,1,09:28:01
432,0.898,1,09:28:01
433,0.907,1,09:28:02
434,0.925,1,09:28:03
435,0.886,1,09:28:04
436,0.91,1,09:28:05
437,0.922,1,09:28:06
438,0.923,1,09:28:07
439,0.921,1,09:28:08
440,0.933,1,09:28:09
441,0.934,1,09:28:10
442,0.898,1,09:28:11
443,0.869,1,09:28:12
444,0.852,1,09:28:12
445,0.887,1,09:28:13
446,0.91,1,09:28:14
447,0.859,1,09:28:22
448,0.888,1,09:28:22
449,0.934,1,09:28:23
450,0.893,1,09:28:24
451,0.933,1,09:28:25
452,0.955,1,09:28:26
453,0.932,1,09:28:27
454,0.908,1,09:28:28
