time,buttons_pressed
0.0,1.0
1.0,0.5
2.0,0.25
3.0,0.125
4.0,0.0625
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,1.0
11.0,2.5
12.0,2.25
13.0,1.125
14.0,1.5625
15.0,1.75
16.0,0.8125
17.0,0.375
18.0,0.1875
19.0,1.0625
20.0,1.5
21.0,0.75
22.0,0.375
23.0,1.1875
24.0,0.5625
25.0,1.25
26.0,1.625
27.0,0.8125
28.0,0.375
29.0,0.1875
30.0,0.0625
31.0,1.0
32.0,0.5
33.0,0.25
34.0,0.125
35.0,2.0625
36.0,1.0
37.0,0.5
38.0,0.25
39.0,0.125
40.0,1.0
41.0,1.5
42.0,1.75
43.0,0.875
44.0,0.4375
45.0,0.1875
46.0,0.0625
47.0,0.0
48.0,4.0
49.0,6.0
50.0,7.0
51.0,3.5
52.0,1.75
53.0,0.75
54.0,0.25
55.0,0.0
56.0,1.0
57.0,1.5
58.0,0.75
59.0,2.375
60.0,1.1875
61.0,0.5625
62.0,0.25
63.0,0.125
64.0,0.0
65.0,1.0
66.0,0.5
67.0,0.25
68.0,0.125
69.0,0.0625
70.0,0.0
71.0,0.0
72.0,0.0
73.0,0.0
74.0,1.0
75.0,0.5
76.0,1.25
77.0,0.625
78.0,0.3125
79.0,0.125
80.0,0.0625
81.0,0.0
82.0,0.0
83.0,0.0
84.0,0.0
85.0,0.0
86.0,1.0
87.0,0.5
88.0,0.25
89.0,0.125
90.0,0.0625
91.0,0.0
92.0,0.0
93.0,1.0
94.0,0.5
95.0,0.25
96.0,0.125
97.0,1.0625
98.0,0.5
99.0,0.25
100.0,2.125
101.0,2.0625
102.0,1.0
103.0,0.5
104.0,0.25
105.0,1.0625
106.0,0.5
107.0,0.25
108.0,0.125
109.0,0.0625
110.0,0.0
111.0,0.0
112.0,0.0
113.0,0.0
114.0,0.0
115.0,1.0
116.0,0.5
117.0,0.25
118.0,0.125
119.0,1.0625
120.0,0.5
121.0,0.25
122.0,2.125
123.0,3.0625
124.0,2.5
125.0,1.25
126.0,1.625
127.0,0.75
128.0,0.3125
129.0,1.125
130.0,0.5625
131.0,0.25
132.0,0.125
133.0,0.0625
134.0,0.0
135.0,0.0
136.0,0.0
137.0,0.0
138.0,0.0
139.0,0.0
140.0,0.0
141.0,1.0
142.0,0.5
143.0,1.25
144.0,0.625
145.0,0.3125
146.0,0.125
147.0,0.0625
148.0,0.0
149.0,0.0
150.0,2.0
151.0,1.0
152.0,1.5
153.0,1.75
154.0,0.875
155.0,1.375
156.0,0.6875
157.0,2.3125
158.0,1.125
159.0,0.5625
160.0,0.25
161.0,0.125
162.0,0.0
163.0,0.0
164.0,0.0
165.0,0.0
166.0,1.0
167.0,0.5
168.0,0.25
169.0,1.125
170.0,1.5625
171.0,0.75
172.0,0.375
173.0,0.1875
174.0,0.0625
175.0,0.0
176.0,0.0
177.0,1.0
178.0,1.5
179.0,1.75
180.0,2.875
181.0,1.4375
182.0,0.6875
183.0,0.3125
184.0,0.125
185.0,2.0
186.0,2.0
187.0,1.0
188.0,0.5
189.0,1.25
190.0,1.5625
191.0,0.75
192.0,0.375
193.0,0.1875
194.0,0.0625
195.0,0.0
196.0,0.0
197.0,1.0
198.0,0.5
199.0,1.25
200.0,0.625
201.0,1.3125
202.0,0.625
203.0,0.3125
204.0,1.125
205.0,2.5625
206.0,2.25
207.0,3.125
208.0,1.5625
209.0,0.75
210.0,0.3125
211.0,1.125
212.0,0.5
213.0,0.25
214.0,0.125
215.0,0.0625
216.0,0.0
217.0,0.0
218.0,0.0
219.0,0.0
220.0,0.0
221.0,3.0
222.0,2.5
223.0,1.25
224.0,0.625
225.0,0.3125
226.0,0.0625
227.0,0.0
228.0,0.0
229.0,0.0
230.0,0.0
231.0,0.0
232.0,0.0
233.0,0.0
234.0,1.0
235.0,0.5
236.0,0.25
237.0,0.125
238.0,0.0625
239.0,0.0
240.0,0.0
241.0,0.0
242.0,0.0
243.0,0.0
244.0,1.0
245.0,0.5
246.0,1.25
247.0,0.625
248.0,0.3125
249.0,0.125
250.0,0.0625
251.0,0.0
252.0,0.0
253.0,0.0
254.0,0.0
255.0,0.0
256.0,0.0
257.0,0.0
258.0,0.0
259.0,0.0
260.0,0.0
261.0,0.0
262.0,0.0
263.0,1.0
264.0,0.5
265.0,0.25
266.0,1.125
267.0,0.5625
268.0,1.25
269.0,2.625
270.0,1.3125
271.0,3.625
272.0,2.8125
273.0,3.375
274.0,1.625
275.0,0.8125
276.0,0.3125
277.0,0.125
278.0,0.0
279.0,0.0
280.0,0.0
281.0,0.0
282.0,1.0
283.0,0.5
284.0,0.25
285.0,0.125
286.0,0.0625
287.0,0.0
288.0,0.0
289.0,0.0
290.0,0.0
291.0,0.0
292.0,1.0
293.0,0.5
294.0,2.25
295.0,1.125
296.0,1.5625
297.0,1.75
298.0,0.875
299.0,0.375
300.0,0.1875
301.0,0.0625
302.0,0.0
303.0,0.0
304.0,0.0
305.0,0.0
306.0,0.0
307.0,0.0
308.0,0.0
309.0,0.0
310.0,0.0
311.0,0.0
312.0,0.0
313.0,0.0
314.0,0.0
315.0,0.0
316.0,0.0
317.0,0.0
318.0,0.0
319.0,0.0
320.0,1.0
321.0,0.5
322.0,0.25
323.0,0.125
324.0,0.0625
325.0,1.0
326.0,0.5
327.0,1.25
328.0,1.625
329.0,1.8125
330.0,0.875
331.0,1.4375
332.0,0.6875
333.0,1.3125
334.0,1.625
335.0,0.8125
336.0,1.375
337.0,0.6875
338.0,0.3125
339.0,0.125
340.0,1.0625
341.0,1.5
342.0,0.75
343.0,1.375
344.0,0.6875
345.0,1.3125
346.0,0.625
347.0,0.3125
348.0,0.125
349.0,0.0625
350.0,0.0
351.0,2.0
352.0,1.0
353.0,0.5
354.0,0.25
355.0,0.125
356.0,0.0
357.0,0.0
358.0,0.0
359.0,0.0
360.0,0.0
361.0,0.0
362.0,1.0
363.0,1.5
364.0,0.75
365.0,1.375
366.0,0.6875
367.0,0.3125
368.0,0.125
369.0,0.0625
370.0,0.0
371.0,0.0
372.0,2.0
373.0,2.0
374.0,2.0
375.0,1.0
376.0,1.5
377.0,1.6875
378.0,0.8125
379.0,1.375
380.0,0.6875
381.0,0.3125
382.0,0.125
383.0,1.0625
384.0,0.5
385.0,0.25
386.0,0.125
387.0,0.0625
388.0,0.0
389.0,0.0
390.0,1.0
391.0,0.5
392.0,0.25
393.0,0.125
394.0,0.0625
395.0,0.0
396.0,0.0
397.0,1.0
398.0,1.5
399.0,0.75
400.0,2.375
401.0,3.1875
402.0,1.5625
403.0,0.75
404.0,1.375
405.0,0.625
406.0,0.25
407.0,0.125
408.0,0.0625
409.0,1.0
410.0,0.5
411.0,1.25
412.0,2.625
413.0,2.3125
414.0,1.125
415.0,1.5625
416.0,2.75
417.0,1.3125
418.0,0.625
419.0,0.3125
420.0,0.125
421.0,1.0
422.0,2.5
423.0,1.25
424.0,0.625
425.0,1.3125
426.0,0.625
427.0,0.25
428.0,0.125
429.0,0.0625
430.0,0.0
431.0,0.0
432.0,0.0
433.0,0.0
434.0,0.0
435.0,0.0
436.0,0.0
437.0,0.0
438.0,0.0
439.0,0.0
440.0,0.0
441.0,0.0
442.0,0.0
443.0,0.0
444.0,1.0
445.0,0.5
446.0,0.25
447.0,0.125
448.0,0.0625
449.0,0.0
450.0,0.0
451.0,1.0
452.0,0.5
453.0,0.25
454.0,1.125
455.0,1.5625
456.0,1.75
457.0,0.875
458.0,0.4375
459.0,0.1875
460.0,1.0625
461.0,0.5
462.0,0.25
463.0,1.125
464.0,0.5625
465.0,2.25
466.0,1.125
467.0,1.5625
468.0,1.75
469.0,1.875
470.0,2.875
471.0,1.4375
472.0,0.6875
473.0,1.3125
474.0,0.625
475.0,0.25
476.0,0.125
477.0,0.0625
478.0,0.0
479.0,0.0
480.0,1.0
481.0,0.5
482.0,0.25
483.0,0.125
484.0,0.0625
485.0,2.0
486.0,1.0
487.0,0.5
488.0,0.25
489.0,1.125
490.0,0.5
491.0,2.25
492.0,1.125
493.0,0.5625
494.0,0.25
495.0,0.125
496.0,2.0
497.0,1.0
498.0,0.5
499.0,1.25
500.0,0.625
501.0,1.25
502.0,1.625
503.0,0.8125
504.0,0.375
505.0,0.1875
506.0,0.0625
507.0,0.0
508.0,0.0
509.0,1.0
510.0,1.5
511.0,0.75
512.0,0.375
513.0,0.1875
514.0,0.0625
515.0,0.0
516.0,0.0
517.0,0.0
518.0,0.0
519.0,0.0
520.0,1.0
521.0,0.5
522.0,1.25
523.0,1.625
524.0,0.8125
525.0,2.375
526.0,1.1875
527.0,0.5625
528.0,1.25
529.0,0.625
530.0,0.25
531.0,0.125
532.0,0.0625
533.0,0.0
534.0,1.0
535.0,0.5
536.0,0.25
537.0,0.125
538.0,0.0625
539.0,0.0
540.0,4.0
541.0,2.0
542.0,1.0
543.0,0.5
544.0,0.25
545.0,0.0
546.0,3.0
547.0,1.5
548.0,0.75
549.0,0.375
550.0,0.1875
551.0,0.0
552.0,0.0
553.0,0.0
554.0,0.0
555.0,0.0
556.0,0.0
557.0,0.0
558.0,1.0
559.0,0.5
560.0,0.25
561.0,0.125
562.0,0.0625
563.0,0.0
564.0,0.0
565.0,2.0
566.0,1.0
567.0,0.5
568.0,0.25
569.0,0.125
570.0,0.0
571.0,0.0
572.0,0.0
573.0,0.0
574.0,1.0
575.0,1.5
576.0,0.75
577.0,1.375
578.0,1.6875
579.0,0.8125
580.0,0.375
581.0,0.1875
582.0,0.0625
583.0,1.0
584.0,1.5
585.0,1.75
586.0,0.875
587.0,1.4375
588.0,1.6875
589.0,2.8125
590.0,1.375
591.0,1.6875
592.0,3.8125
593.0,3.875
594.0,1.875
595.0,2.9375
596.0,2.4375
597.0,3.125
598.0,1.5
599.0,0.75
600.0,1.3125
601.0,1.625
602.0,1.75
603.0,0.875
604.0,0.4375
605.0,1.1875
606.0,0.5625
607.0,0.25
608.0,0.125
609.0,0.0625
610.0,0.0
611.0,0.0
612.0,0.0
613.0,0.0
614.0,1.0
615.0,2.5
616.0,1.25
617.0,0.625
618.0,1.3125
619.0,0.625
620.0,0.25
621.0,1.125
622.0,0.5625
623.0,2.25
624.0,4.125
625.0,2.0625
626.0,1.0
627.0,0.5
628.0,0.1875
629.0,0.0
630.0,0.0
631.0,0.0
632.0,1.0
633.0,0.5
634.0,0.25
635.0,0.125
636.0,0.0625
637.0,0.0
638.0,0.0
639.0,0.0
640.0,0.0
641.0,0.0
642.0,1.0
643.0,0.5
644.0,0.25
645.0,2.125
646.0,2.0625
647.0,2.0
648.0,1.0
649.0,0.5
650.0,0.1875
651.0,0.0625
652.0,0.0
653.0,0.0
654.0,0.0
655.0,0.0
656.0,0.0
657.0,0.0
658.0,0.0
659.0,0.0
660.0,0.0
661.0,0.0
662.0,0.0
663.0,0.0
664.0,0.0
665.0,0.0
666.0,0.0
667.0,0.0
668.0,0.0
669.0,0.0
670.0,1.0
671.0,0.5
672.0,2.25
673.0,2.125
674.0,2.0625
675.0,2.0
676.0,2.0
677.0,2.9375
678.0,1.4375
679.0,1.6875
680.0,2.8125
681.0,2.375
682.0,1.125
683.0,0.5625
684.0,0.25
685.0,2.0625
686.0,1.0
687.0,1.5
688.0,0.75
689.0,0.375
690.0,0.125
691.0,0.0625
692.0,0.0
693.0,1.0
694.0,0.5
695.0,0.25
696.0,0.125
697.0,0.0625
698.0,1.0
699.0,0.5
700.0,0.25
701.0,0.125
702.0,0.0625
703.0,0.0
704.0,0.0
705.0,0.0
706.0,0.0
707.0,0.0
708.0,0.0
709.0,0.0
710.0,0.0
711.0,1.0
712.0,0.5
713.0,0.25
714.0,1.125
715.0,1.5625
716.0,1.75
