,Axis1,Axis2,Axis3,Steps,HR,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude,day,time
251,14,13,134,0,93.0,0,1,0,0,135.36,1,09:15:11
252,34,0,59,1,93.0,0,1,0,0,68.1,1,09:15:12
253,65,15,173,0,94.0,0,1,0,0,185.42,1,09:15:13
254,35,17,110,1,94.0,0,1,0,0,116.68,1,09:15:14
255,62,14,191,0,93.0,0,1,0,0,201.3,1,09:15:15
256,71,26,85,1,92.0,0,1,0,0,113.76,1,09:15:16
257,33,5,91,1,92.0,0,1,0,0,96.93,1,09:15:17
258,11,0,76,0,92.0,0,1,0,0,76.79,1,09:15:18
259,42,19,124,0,91.0,0,1,0,0,132.29,1,09:15:19
260,26,0,12,1,91.0,0,1,0,0,28.64,1,09:15:20
261,88,33,76,0,92.0,0,1,0,0,120.87,1,09:15:21
262,57,50,191,1,92.0,0,1,0,0,205.5,1,09:15:22
263,17,29,37,1,93.0,0,1,0,0,49.99,1,09:15:23
264,39,157,91,1,94.0,0,1,0,0,185.61,1,09:15:24
265,22,49,14,1,94.0,0,1,0,0,55.51,1,09:15:25
266,28,51,15,0,96.0,0,1,0,0,60.08,1,09:15:26
267,0,7,0,0,96.0,0,0,1,0,7.0,1,09:15:27
268,0,0,0,0,95.0,0,0,1,0,0.0,1,09:15:28
269,0,0,0,0,95.0,0,0,1,0,0.0,1,09:15:29
270,0,0,1,0,94.0,0,0,1,0,1.0,1,09:15:30
271,39,4,79,1,92.0,0,1,0,0,88.19,1,09:15:31
272,39,6,28,1,91.0,0,1,0,0,48.38,1,09:15:32
273,41,10,10,0,90.0,0,1,0,0,43.37,1,09:15:33
274,48,3,0,0,90.0,0,1,0,0,48.09,1,09:15:34
275,25,0,0,0,92.0,0,1,0,0,25.0,1,09:15:35
276,0,0,0,0,92.0,0,0,1,0,0.0,1,09:15:36
277,14,0,3,1,93.0,0,1,0,0,14.32,1,09:15:37
284,13,157,98,0,99.0,0,1,0,0,185.53,1,09:15:44
285,200,141,95,0,99.0,0,1,0,0,262.5,1,09:15:45
286,111,84,55,0,99.0,0,1,0,0,149.67,1,09:15:46
310,193,82,206,1,173.0,0,1,0,0,293.95,1,09:16:10
318,90,111,83,1,98.0,0,1,0,0,165.26,1,09:16:18
319,23,45,67,0,100.0,0,1,0,0,83.92,1,09:16:19
320,34,13,40,0,99.0,0,1,0,0,54.08,1,09:16:20
321,55,16,31,1,96.0,0,1,0,0,65.13,1,09:16:21
322,12,13,0,0,95.0,0,1,0,0,17.69,1,09:16:22
323,0,0,0,0,93.0,1,0,0,0,0.0,1,09:16:23
324,0,0,0,0,93.0,1,0,0,0,0.0,1,09:16:24
