,ibi_s,day,time
1,0.787,1,09:33:08
2,0.813,1,09:33:10
3,0.881,1,09:33:10
4,0.937,1,09:33:11
5,0.936,1,09:33:11
6,0.886,1,09:33:12
7,0.896,1,09:33:13
8,0.897,1,09:33:14
9,0.903,1,09:33:15
10,0.846,1,09:33:16
11,0.873,1,09:33:17
12,0.85,1,09:33:18
13,0.843,1,09:33:18
14,0.809,1,09:33:19
15,0.834,1,09:33:20
16,0.823,1,09:33:21
17,0.829,1,09:33:22
18,0.837,1,09:33:23
19,0.805,1,09:33:23
20,0.843,1,09:33:24
21,0.842,1,09:33:25
22,0.853,1,09:33:26
23,0.839,1,09:33:27
24,0.837,1,09:33:28
25,0.851,1,09:33:28
26,0.857,1,09:33:30
27,0.857,1,09:33:30
28,0.824,1,09:33:31
29,0.859,1,09:33:32
30,0.854,1,09:33:34
31,0.834,1,09:33:41
32,0.804,1,09:33:42
33,0.824,1,09:33:43
34,0.812,1,09:33:44
35,0.825,1,09:33:44
36,0.798,1,09:33:45
37,0.801,1,09:33:46
38,0.815,1,09:33:47
39,0.815,1,09:33:48
40,0.81,1,09:33:48
41,0.787,1,09:33:49
42,0.768,1,09:33:50
43,0.781,1,09:33:51
44,0.802,1,09:33:52
45,0.808,1,09:33:52
46,0.842,1,09:33:53
47,0.839,1,09:33:54
48,0.844,1,09:33:55
49,0.847,1,09:33:56
50,0.837,1,09:33:57
51,0.81,1,09:33:57
52,0.809,1,09:33:58
53,0.787,1,09:34:00
54,0.767,1,09:34:00
55,0.61,1,09:34:18
56,0.595,1,09:34:18
57,0.6,1,09:34:19
58,0.602,1,09:34:19
59,0.591,1,09:34:20
60,0.598,1,09:34:21
61,0.596,1,09:34:21
62,0.577,1,09:34:22
63,0.604,1,09:34:22
64,0.613,1,09:34:23
65,0.63,1,09:34:24
66,0.622,1,09:34:24
67,0.632,1,09:34:25
68,0.642,1,09:34:25
69,0.646,1,09:34:26
70,0.646,1,09:34:27
71,0.649,1,09:34:27
72,0.399,1,09:34:28
73,0.882,1,09:34:29
74,0.641,1,09:34:29
75,0.64,1,09:34:30
76,0.639,1,09:34:31
77,0.638,1,09:34:31
78,0.632,1,09:34:32
79,0.624,1,09:34:33
80,0.635,1,09:34:33
