time,env_temperature,env_pressure,altitude,env_humidity,env_co2
0.0,28.01,977.2,310.74,25.46,636
1.0,28.02,977.24,310.43,25.7,636
2.0,28.02,977.19,310.84,25.69,636
3.0,28.03,977.17,310.77,25.51,636
4.0,28.02,977.22,310.6,25.73,636
5.0,28.03,977.28,310.05,25.7,636
6.0,28.02,977.21,310.19,25.82,636
7.0,28.02,977.15,311.15,25.71,636
8.0,28.03,977.18,310.94,25.7,636
9.0,28.01,977.26,310.26,25.65,636
10.0,28.02,977.17,311.01,25.71,636
11.0,28.02,977.18,310.91,25.69,636
12.0,28.02,977.16,311.08,25.83,636
13.0,28.03,977.23,310.46,25.73,636
14.0,28.02,977.15,311.15,25.66,636
15.0,28.02,977.22,310.6,25.65,636
16.0,28.02,977.27,310.6,25.67,636
17.0,28.02,977.16,311.08,25.67,636
18.0,28.01,977.23,310.5,25.97,636
19.0,28.03,977.26,310.84,25.56,636
20.0,28.01,977.25,310.33,25.63,636
21.0,28.01,977.26,310.26,25.74,636
22.0,28.01,977.2,310.81,25.36,636
23.0,28.02,977.19,310.84,25.68,636
24.0,28.02,977.27,310.12,25.68,636
25.0,28.02,977.19,310.12,25.86,636
26.0,28.01,977.17,310.5,25.57,636
27.0,28.01,977.26,310.26,25.66,636
28.0,28.01,977.23,310.5,25.67,636
29.0,28.02,977.27,309.71,25.61,636
30.0,28.02,977.28,310.05,25.91,636
31.0,28.02,977.16,311.08,25.65,636
32.0,28.03,977.23,310.46,25.09,636
33.0,28.03,977.12,311.42,25.61,636
34.0,28.03,977.25,310.29,25.67,636
35.0,28.02,977.19,310.84,25.57,636
36.0,28.05,977.25,310.32,25.57,636
37.0,28.05,977.27,310.18,25.64,636
38.0,28.04,977.28,310.8,25.64,636
39.0,28.03,977.18,310.94,25.41,636
40.0,28.05,977.21,310.66,25.63,636
41.0,28.05,977.2,310.73,25.37,636
42.0,28.04,977.25,310.18,25.55,636
43.0,28.05,977.18,310.9,25.62,636
44.0,28.06,977.2,310.76,25.68,636
45.0,28.05,977.21,310.53,26.13,636
46.0,28.06,977.23,310.53,25.61,636
47.0,28.05,977.21,310.66,25.62,636
48.0,28.05,977.18,311.14,25.66,636
49.0,28.06,977.22,310.59,25.62,636
50.0,28.05,977.27,310.18,25.67,636
51.0,28.03,977.23,310.53,25.68,636
52.0,28.03,977.18,310.87,25.69,636
53.0,28.04,977.19,310.8,25.67,636
54.0,28.03,977.18,310.94,25.31,636
55.0,28.04,977.17,310.63,25.77,636
56.0,28.04,977.22,310.56,25.63,638
57.0,28.05,977.24,310.42,25.63,638
58.0,28.05,977.16,311.14,25.63,638
59.0,28.05,977.31,310.73,25.18,638
