time,facial_skin_temperature
1.0,35.22449999999999
2.0,35.21856666666666
3.0,35.21178571428571
4.0,35.20432666666666
5.0,35.19636451612902
6.0,35.187464516129026
7.0,35.181093548387096
8.0,35.17598709677419
9.0,35.1715129032258
10.0,35.16735483870967
11.0,35.16335483870967
12.0,35.173806451612904
13.0,35.191483870967744
14.0,35.212774193548384
15.0,35.23587096774193
16.0,35.25987096774194
17.0,35.27531182795699
18.0,35.286473118279574
19.0,35.29549462365591
20.0,35.30344623655914
21.0,35.31086290322581
22.0,35.318279569892475
23.0,35.32966182795698
24.0,35.343026881720434
25.0,35.35738333333333
26.0,35.372235483870966
27.0,35.38733548387097
28.0,35.38994516129032
29.0,35.386309677419355
30.0,35.37955161290323
31.0,35.371232258064516
32.0,35.36213225806452
33.0,35.35210322580645
34.0,35.341609677419356
35.0,35.33088387096774
36.0,35.32004193548387
37.0,35.309141935483865
38.0,35.29973870967741
39.0,35.29108387096774
40.0,35.28280322580645
41.0,35.27470967741935
42.0,35.26670967741935
43.0,35.19414193548387
44.0,35.08929032258064
45.0,34.96829677419355
46.0,34.83923225806451
47.0,34.706132258064514
48.0,34.720748387096776
49.0,34.809222580645155
50.0,34.93462580645162
51.0,35.0784935483871
52.0,35.231593548387096
53.0,35.320125806451614
54.0,35.376374193548386
55.0,35.416480645161286
56.0,35.44851612903226
57.0,35.476516129032255
58.0,35.46472258064516
59.0,35.433032258064515
60.0,35.39139354838709
61.0,35.344780645161286
62.0,35.29568064516128
63.0,35.26332043010753
64.0,35.239330107526875
65.0,35.219524731182794
66.0,35.20181182795699
67.0,35.18514516129032
68.0,35.168478494623656
69.0,35.15065913978494
70.0,35.132263440860214
71.0,35.11357956989247
72.0,35.09475161290323
73.0,35.07585161290323
