time,mouse_movement,mouse_clicks
0.0,343.9895223837057,1.0
1.0,577.9709493488197,1.5
2.0,1562.9489224263484,3.75
3.0,1142.0464972837294,2.875
4.0,866.5485426903059,3.4375
5.0,1096.7080800463068,3.6875
6.0,1447.7694550084511,3.8125
7.0,2423.8311825505693,3.8125
8.0,1299.3513108794396,1.875
9.0,1481.3755505954948,0.875
10.0,830.0779248418575,0.375
11.0,1450.7462548273027,0.125
12.0,1530.6079513016232,0.0
13.0,923.9443902216349,0.0
14.0,1370.4965001140133,4.0
15.0,820.4258167306191,2.0
16.0,826.765019588825,3.0
17.0,508.9120129410221,1.5
18.0,601.1531636215382,2.75
19.0,931.7807922465372,1.25
20.0,1383.529547091713,2.625
21.0,1276.3926547070487,2.25
22.0,938.1881817299816,2.125
23.0,1149.1891934819685,2.0
24.0,1250.9221760090431,2.0
25.0,954.760664484714,0.9375
26.0,1857.104075316067,3.4375
27.0,1265.4767275544655,1.6875
28.0,1790.0727508885827,3.8125
29.0,1749.291149659421,3.875
30.0,1597.124588158682,5.9375
31.0,1670.12369921483,6.875
32.0,1103.0291845709542,4.4375
33.0,1612.2577114208393,2.125
34.0,1535.4637214708673,2.0
35.0,1253.3368098804244,2.875
36.0,911.9952477891078,2.3125
37.0,976.5407515731167,3.125
38.0,1110.275537882559,4.5625
39.0,1105.7857116375894,3.25
40.0,850.5109745489365,1.5625
41.0,1906.926910405141,1.75
42.0,1654.9745254694683,0.8125
43.0,1753.930064908982,1.3125
44.0,1269.7215369583305,1.625
45.0,1185.9478499716847,2.8125
46.0,1273.5405079855802,1.375
47.0,1766.180836623147,1.6875
48.0,1590.4499548815613,3.8125
49.0,1047.2558602881018,5.875
50.0,1301.886700564406,3.875
51.0,1691.347211962766,3.9375
52.0,1549.1538227732076,4.9375
53.0,845.2396636760175,2.375
54.0,622.8677957710042,2.0625
55.0,1148.1418439994536,2.0
56.0,1300.4511992804846,2.9375
57.0,830.0888626796904,4.375
58.0,865.2269340072355,3.1875
59.0,1145.2814833225684,2.5625
60.0,1099.6221892279696,1.25
61.0,1162.52980821245,0.5625
62.0,1015.6930937756451,1.1875
63.0,976.7517487986189,2.5625
64.0,1396.413745789314,2.25
65.0,1105.7913018635002,2.125
66.0,1028.8370823555097,3.0625
67.0,767.0069007370589,3.5
68.0,1205.0470807890788,3.6875
69.0,1127.6224241765808,3.8125
70.0,1092.542641605754,3.875
71.0,1034.4267218641535,3.875
72.0,710.4189010331049,2.875
73.0,1230.545158038614,3.375
74.0,1192.140512479467,3.625
75.0,987.1979285638636,3.75
76.0,993.8785245887577,4.8125
77.0,1554.0515982035365,2.375
78.0,1590.9364563622003,2.125
79.0,1679.4533056899484,2.0
80.0,1560.323288108495,1.9375
81.0,1682.983870775717,2.875
82.0,1527.418602235041,2.4375
83.0,1220.5043148680447,2.1875
84.0,1315.8597128970976,4.0625
85.0,1097.4474236728342,4.0
86.0,1186.2781043091868,2.9375
87.0,1190.2016846912743,2.4375
88.0,1791.8909950758407,1.1875
89.0,938.3444816617847,1.5
90.0,525.1508904885443,0.6875
91.0,654.0587556761561,0.3125
92.0,857.9796423287617,0.125
93.0,391.11834170989664,1.0625
94.0,1541.845773002303,0.5
95.0,801.4499260697772,0.25
96.0,388.84045381094546,1.125
97.0,177.22301519548125,0.5625
98.0,88.61150759774063,1.25
99.0,2.1704980481460283,0.625
100.0,1609.6285138823666,2.3125
101.0,877.0233076649629,1.125
102.0,1037.8239138137849,3.5625
103.0,1422.6740648493192,3.75
104.0,1765.211907868491,2.875
105.0,1193.4514582753345,3.375
106.0,1412.1294261557398,2.6875
107.0,1332.7508498776265,3.25
108.0,820.0513520611105,1.5625
109.0,739.0638774515871,1.75
110.0,645.460628759874,1.8125
111.0,1517.1486037745026,2.875
112.0,1315.6993968568954,1.375
113.0,948.4493413809344,1.6875
114.0,1054.2505241642007,2.8125
115.0,1425.6255634202876,1.375
116.0,1514.9125533169781,2.625
117.0,1529.9529175572516,3.3125
118.0,1877.9003081494743,2.625
119.0,1692.2113385822531,3.25
120.0,2248.6107988717554,4.625
121.0,1853.1504641183146,4.25
122.0,1630.4015355370846,4.0625
123.0,2756.2911725000367,4.0
124.0,1756.5916467672446,2.9375
125.0,3139.64110396704,2.375
126.0,2513.020197796404,4.125
127.0,1666.3028930893065,4.0
128.0,1307.6805556478062,1.9375
129.0,1232.6686846659095,1.9375
130.0,1279.4320629471913,1.9375
131.0,1225.516110565819,0.875
132.0,1238.7303275681827,2.375
133.0,1281.4343868883532,3.1875
134.0,1360.5563286184229,2.5625
135.0,1562.0133886056117,3.25
136.0,1180.8452415785857,3.625
137.0,1039.8571482183322,3.75
138.0,1266.873907083425,2.8125
139.0,1050.3636738124628,2.375
140.0,601.8002570039067,3.125
141.0,1109.9499176144002,4.5
142.0,989.4775625092863,2.1875
143.0,470.73382153263344,1.0625
144.0,1025.469437898271,0.5
145.0,908.5165285080295,0.1875
146.0,428.566191804175,0.0
147.0,200.24647295221502,0.0
148.0,100.12323647610751,0.0
149.0,438.99549872767204,0.0
150.0,924.7067843616429,1.0
151.0,2150.3023916729944,0.5
152.0,2105.92926833564,0.25
153.0,1867.7777175460374,0.125
154.0,931.3638763597387,4.0625
155.0,443.25444915639457,6.0
156.0,1026.2290456183791,5.0
157.0,1644.1382785719886,4.5
158.0,838.4187896304662,2.25
159.0,484.27529881835153,1.0
160.0,242.13764940917576,0.375
161.0,94.27663010226561,0.125
162.0,572.5212262286431,0.0
163.0,1979.7929316792151,0.0
164.0,996.4873998242462,0.0
165.0,498.2436999121231,0.0
166.0,249.12184995606154,0.0
167.0,107.00673676688943,0.0
168.0,0.5396508509479975,0.0
169.0,0.0,0.0
170.0,1108.6798636180592,0.0
171.0,2184.874729051149,0.0
172.0,1103.4373645255746,0.0
173.0,558.7831773650332,0.0
174.0,1448.7077015525613,0.0
175.0,689.7076050382163,0.0
176.0,712.3365805999306,0.0
177.0,2238.3640927127153,0.0
178.0,1888.1952318164317,2.0
179.0,1288.1697209896206,3.0
180.0,740.3843663965856,4.5
181.0,1129.0696403789848,4.25
182.0,770.2485121821608,2.125
183.0,594.6706303571227,2.0
184.0,488.5669441707988,4.9375
185.0,1068.738507957947,2.375
186.0,2149.544724980945,4.125
187.0,1518.4981909028475,2.0625
188.0,1196.3159400427216,2.0
189.0,1328.675974148651,2.875
190.0,1158.0742621760423,1.4375
191.0,1714.4717641869386,1.625
192.0,1537.7059698747382,2.8125
193.0,1469.6455242117281,3.375
194.0,1138.405806651705,2.625
195.0,988.4555358872187,2.3125
196.0,1174.489949502271,1.125
197.0,1360.0873322328616,2.5
198.0,1621.795054313356,3.1875
199.0,1428.6365700646988,4.5625
200.0,1330.4341386926262,2.25
201.0,1408.985327833336,2.125
202.0,1174.719837839484,1.0
203.0,1830.6369592392793,1.4375
204.0,1208.0803038254223,2.625
205.0,736.8710257515602,1.3125
206.0,968.718610158571,2.625
207.0,1128.1677557095288,3.3125
208.0,2393.7915016775733,2.625
209.0,1605.4433849437207,2.25
210.0,1554.6437169801557,2.125
211.0,922.0200054965057,2.0
212.0,440.4075347472201,0.9375
213.0,552.5229651413512,2.4375
214.0,928.479187318663,5.1875
215.0,1555.0437744534704,3.5625
216.0,1277.2857804544233,2.75
217.0,947.0655230644895,2.375
218.0,1214.1939925245642,1.125
219.0,1553.3960567027266,1.4375
220.0,1385.573855806548,1.6875
221.0,1013.7110458234647,2.8125
222.0,1243.2971558472761,3.375
223.0,719.0157874877594,2.6875
224.0,1077.7626559029811,2.3125
225.0,1760.4971454310007,1.125
226.0,1269.4084261280182,0.5
227.0,999.5302238758179,0.1875
228.0,1719.7990673771053,3.0625
229.0,1793.1979039376106,1.5
230.0,2339.1444078833224,1.75
231.0,2989.8753028978263,0.875
232.0,2307.713163500658,2.4375
233.0,1690.9147317579916,2.125
234.0,1170.296850710772,1.0625
235.0,1000.4411014282857,1.5
236.0,812.7529174133776,0.75
237.0,506.83440790948197,0.3125
238.0,244.43900795138225,0.125
239.0,667.6753708996812,1.0625
240.0,982.8933967496187,1.5
241.0,1543.3434648082105,2.75
242.0,1429.9464227233861,4.375
243.0,1311.9938113829865,4.1875
244.0,1159.290083283303,3.0625
245.0,1022.1236138949141,2.5
246.0,1488.0383743299278,2.1875
247.0,1208.7873806860594,3.0
248.0,1455.812079883372,3.4375
249.0,1406.8827917449942,2.6875
250.0,1673.0295873119207,3.3125
251.0,1155.8001647092537,1.625
252.0,1425.5170546072166,2.75
253.0,1100.541304185941,2.3125
254.0,952.5750425747322,2.125
255.0,472.2644411975095,1.0
256.0,225.1680200569222,0.5
257.0,85.62189511904434,0.1875
258.0,29.843044305041552,0.0625
259.0,1.6705566677084291,0.0
260.0,0.0,0.0
261.0,0.0,0.0
262.0,932.4604890581667,0.0
263.0,1240.2222072400891,0.0
264.0,952.5162200693942,0.0
265.0,2384.487809020898,1.0
266.0,2174.100373391774,1.5
267.0,2259.655179640171,2.75
268.0,2708.056998072836,2.375
269.0,4856.87643815035,2.1875
270.0,3800.845068901738,3.0625
271.0,3743.8667738465415,2.5
272.0,1834.378874947416,2.1875
273.0,867.1139169397246,1.0625
274.0,323.7683460010194,0.5
275.0,265.65951281591356,0.1875
276.0,313.7977118781941,2.0625
277.0,2973.3646843611305,1.0
278.0,2044.5070542964634,0.5
279.0,3149.7568504041697,0.25
280.0,2589.444535408434,0.125
281.0,1923.9239376308105,1.0
282.0,3348.8330314713935,0.5
283.0,1874.7143486273999,0.25
284.0,887.286909024325,0.125
285.0,1668.9126296017155,0.0625
286.0,918.9740558341193,0.0
287.0,1755.7941925933842,0.0
288.0,883.9214654481468,0.0
289.0,2845.5065591294924,0.0
290.0,1413.183074597437,0.0
291.0,703.3285931248944,0.0
292.0,344.0179270675123,0.0
293.0,1860.205188335493,0.0
294.0,1747.6543493863887,1.0
295.0,875.8985879231282,0.5
296.0,610.2544037572427,1.25
297.0,604.5999210969024,2.625
298.0,505.3249069910993,2.3125
299.0,530.5228165101846,2.125
300.0,697.2098299900754,2.0625
301.0,459.51171159330306,2.0
302.0,220.36288008876647,1.9375
303.0,153.36718612747194,0.9375
304.0,174.3385906258069,2.4375
305.0,246.61904807977285,2.1875
306.0,543.6952172869658,1.0625
307.0,623.9563117360199,0.5
308.0,695.8816900729389,1.25
309.0,1080.8419402652705,2.5625
310.0,992.1155317863482,1.25
311.0,918.1717388475912,2.625
312.0,1301.5711224065121,3.3125
313.0,1092.8945798869408,2.625
314.0,1365.5076038543882,2.25
315.0,1168.3241092230628,2.125
316.0,937.2893244451504,1.0
317.0,854.96999097878,3.4375
318.0,742.4488914092022,3.6875
319.0,1145.9497499366412,3.8125
320.0,847.323740750607,3.875
321.0,427.2014824589974,5.9375
322.0,1200.8320410099996,3.875
323.0,680.6342196948507,1.875
324.0,508.8158685391483,0.875
325.0,1550.7702904367252,0.375
326.0,1922.0942395350917,2.0625
327.0,1696.9837258522448,1.0
328.0,1455.3042045881414,0.5
329.0,1145.969463232128,1.25
330.0,1144.3189837700625,3.625
331.0,536.3101842501334,1.75
332.0,2612.430360500014,2.875
333.0,1318.0764007651871,1.4375
334.0,935.4266912174619,1.6875
335.0,1254.140704364124,0.75
336.0,1696.2278056831005,3.375
337.0,889.322288556822,3.625
338.0,2575.7698733455536,3.8125
339.0,1765.8914581248114,2.875
340.0,1387.9261068534001,3.4375
341.0,1117.838909228139,3.625
342.0,1587.766939076304,3.75
343.0,1439.2778334243217,1.8125
344.0,1271.1006380272554,2.875
345.0,1516.9853965562347,2.375
346.0,883.0345700414513,2.125
347.0,1878.563853682989,2.0
348.0,1792.5491722225506,4.0
349.0,944.019477318051,1.9375
350.0,1701.5227818870985,1.9375
351.0,2062.1234586031082,1.9375
352.0,1173.7687697581136,1.9375
353.0,1166.6262280240849,0.875
354.0,1017.8858406921236,2.4375
355.0,609.4578525009073,4.1875
356.0,1372.0505058242368,4.0625
357.0,1788.3272218148518,4.0
358.0,1348.7373786193898,4.0
359.0,792.8207044878997,4.9375
360.0,465.2328492440773,3.375
361.0,1149.335380785705,5.625
362.0,1024.719568346021,5.75
363.0,2463.4627366730097,4.8125
364.0,1578.25433515373,4.3125
365.0,1751.1467297150648,6.125
366.0,1952.2919898020393,4.9375
367.0,1796.842206487742,3.375
368.0,1687.699099756268,6.625
369.0,1388.900653352885,4.25
370.0,1316.5737274412986,4.0
371.0,1229.3862903070726,2.9375
372.0,969.9855382394832,2.4375
373.0,1078.5173176834646,4.0625
374.0,1413.2018253028828,5.0
375.0,2292.336382909547,2.4375
376.0,1736.854036205248,3.1875
377.0,2099.7471153650063,3.5625
378.0,1181.7487347724493,3.6875
379.0,1055.7503172839897,2.75
380.0,1018.116806005296,3.375
381.0,816.1408347730207,2.625
382.0,1528.2365294584552,2.25
383.0,969.2739219965156,3.0625
384.0,999.6761351761318,2.5
385.0,790.0613925194725,4.1875
386.0,521.1312985761056,4.0625
387.0,1368.4553402085155,4.0
388.0,678.6688472276714,2.9375
389.0,322.75826812064383,1.4375
390.0,484.77903854643006,1.625
391.0,367.2198229825432,0.75
392.0,1041.7129854332632,0.3125
393.0,1416.3255759936383,2.125
394.0,1562.699531977516,2.0625
395.0,1485.1121864335585,3.0
396.0,1343.1384900852665,4.5
397.0,1348.8958569765434,4.25
398.0,1837.0994711937046,2.0625
399.0,1678.4244116843574,3.0
400.0,1775.9157135391029,3.4375
401.0,1312.4280076896027,3.625
402.0,1239.2670470997973,3.75
403.0,882.3386901452986,1.875
404.0,571.0290610386257,0.875
405.0,322.56911681182,0.375
406.0,147.4294204457488,0.125
407.0,2173.0027184093724,0.0
408.0,2714.921954904935,0.0
409.0,1855.466163068707,0.0
410.0,1349.0836935648158,0.0
411.0,947.2985402799249,1.0
412.0,698.9516711286009,0.5
413.0,493.95166860566405,1.25
414.0,231.26235163891363,1.625
415.0,833.8359331419764,1.8125
416.0,1683.1578681298715,0.875
417.0,1971.7438552450992,1.4375
418.0,1153.098728303966,0.6875
419.0,832.3580902305185,0.3125
420.0,1509.4411837149078,1.125
421.0,2391.6046227202523,0.5625
422.0,1881.1933238145675,3.25
423.0,1297.747242323815,2.625
424.0,1148.2389121174547,2.3125
425.0,539.2407198748765,1.125
426.0,217.22284769540676,3.5625
427.0,970.2380444819694,5.6875
428.0,2806.3788427306426,4.8125
429.0,3969.9050454731473,6.375
430.0,2090.1803398620973,4.1875
431.0,1204.317322036795,2.0
432.0,574.528734074393,0.875
433.0,219.7851413957032,0.375
434.0,29.187239364750084,0.0625
435.0,11.305250397202423,0.0
436.0,0.6767766952966369,0.0
437.0,419.5250746040603,1.0
438.0,222.24362466807887,0.5
439.0,410.1084741020774,0.25
440.0,205.0542370510387,0.125
441.0,102.52711852551936,0.0625
442.0,38.16397531724681,0.0
443.0,18.686666360502375,0.0
444.0,0.0,0.0
445.0,0.0,0.0
446.0,0.0,0.0
447.0,0.0,0.0
448.0,0.0,0.0
449.0,692.1369741745219,0.0
450.0,346.06848708726096,0.0
451.0,1596.616885621746,0.0
452.0,1817.6733372076606,4.0
453.0,1219.6890632343682,4.0
454.0,1132.8967178208582,4.0
455.0,1457.2338448054918,4.0
456.0,1311.1276322856152,5.0
457.0,1343.0242704160469,5.375
458.0,1410.8149986900494,5.625
459.0,1312.6992072977546,2.75
460.0,1319.6105861737747,2.3125
461.0,1455.1567799902296,3.0625
462.0,1140.4709100070181,2.4375
463.0,1288.8626479719655,1.125
464.0,1742.2407168467373,1.5625
465.0,1455.0015494340482,1.75
466.0,1131.4394058287112,3.8125
467.0,1165.9077252374302,3.875
468.0,1128.9060346953158,2.9375
469.0,1150.2756896097744,3.4375
470.0,1162.3347612358573,3.6875
471.0,1286.5287464838884,4.75
472.0,1415.0439775237048,3.3125
473.0,1172.1843660373893,2.625
474.0,3034.4879176163276,1.25
475.0,1657.2962052602923,2.5625
476.0,2461.7548099495834,2.1875
477.0,1397.9859867949558,3.0625
478.0,728.5970086102551,1.5
479.0,423.8776930470783,1.75
480.0,541.5571080843927,3.8125
481.0,974.4951536802596,2.875
482.0,952.8165637012244,3.375
483.0,1194.081862526773,4.6875
484.0,1091.9095280617544,3.3125
485.0,1094.0249568615802,2.5625
486.0,1506.407676534206,4.25
487.0,971.5452095922406,3.0625
488.0,691.2718934789873,2.4375
489.0,592.5226534631161,1.1875
490.0,1057.7604003402662,1.5625
491.0,1406.0597007080771,1.6875
492.0,1319.9001516741746,0.8125
493.0,1387.3128238653173,0.375
494.0,1369.3389189157301,1.1875
495.0,1320.335169115451,1.5625
496.0,1931.2984824470564,1.75
497.0,954.4689846546203,0.875
498.0,560.3121029775167,0.4375
499.0,389.3079134867379,0.1875
500.0,981.4191578802518,1.0625
501.0,479.1499945220643,0.5
502.0,893.020344107196,2.25
503.0,889.7276162704431,5.125
504.0,2726.3629474016666,2.5625
505.0,2211.1321514359097,3.25
506.0,1678.2348971319552,1.625
507.0,1067.53335374311,0.75
508.0,545.9415767062868,0.25
509.0,1124.5448895440086,2.125
