,Axis1,Axis2,Axis3,Steps,HR,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude,day,time
201,19,120,72,1,136.0,0,1,0,0,141.23,1,10:03:21
202,89,188,113,1,136.0,0,1,0,0,236.72,1,10:03:22
203,107,30,94,1,94.0,0,1,0,0,145.55,1,10:03:23
204,127,65,120,1,94.0,0,1,0,0,186.42,1,10:03:24
205,68,185,65,1,94.0,0,1,0,0,207.54,1,10:03:25
206,98,185,97,0,94.0,0,1,0,0,230.73,1,10:03:26
207,4,1,29,1,81.0,0,1,0,0,29.29,1,10:03:27
208,1,10,16,0,81.0,0,1,0,0,18.89,1,10:03:28
209,6,0,9,0,78.0,0,1,0,0,10.82,1,10:03:29
210,0,0,11,0,78.0,0,1,0,0,11.0,1,10:03:30
211,12,66,14,0,78.0,0,1,0,0,68.53,1,10:03:31
212,55,69,82,1,78.0,0,1,0,0,120.46,1,10:03:32
213,38,66,51,0,78.0,0,1,0,0,91.66,1,10:03:33
230,22,9,105,0,34.0,0,1,0,0,107.66,1,10:03:50
231,10,18,79,1,34.0,0,1,0,0,81.64,1,10:03:51
232,0,15,50,0,34.0,0,1,0,0,52.2,1,10:03:52
233,0,0,0,0,34.0,0,0,1,0,0.0,1,10:03:53
234,0,0,0,0,34.0,0,0,1,0,0.0,1,10:03:54
235,0,0,0,0,34.0,0,0,1,0,0.0,1,10:03:55
236,0,0,0,0,34.0,0,0,1,0,0.0,1,10:03:56
237,0,0,0,0,34.0,0,0,1,0,0.0,1,10:03:57
238,0,8,24,0,34.0,0,1,0,0,25.3,1,10:03:58
239,5,55,114,0,34.0,0,1,0,0,126.67,1,10:03:59
249,0,0,0,0,27.0,0,0,1,0,0.0,1,10:04:09
250,0,0,0,0,27.0,0,0,1,0,0.0,1,10:04:10
251,5,0,21,0,27.0,0,0,1,0,21.59,1,10:04:11
252,14,19,107,1,27.0,0,1,0,0,109.57,1,10:04:12
253,21,66,67,0,27.0,0,1,0,0,96.36,1,10:04:13
270,91,143,75,1,31.0,0,1,0,0,185.35,1,10:04:30
271,144,128,142,1,88.0,0,1,0,0,239.34,1,10:04:31
272,101,131,50,2,84.0,0,1,0,0,172.81,1,10:04:32
273,112,144,76,0,84.0,0,1,0,0,197.63,1,10:04:33
274,42,73,95,1,81.0,0,1,0,0,126.96,1,10:04:34
275,53,54,84,1,83.0,0,1,0,0,113.05,1,10:04:35
276,40,81,79,1,83.0,0,1,0,0,120.01,1,10:04:36
277,58,83,85,1,87.0,0,1,0,0,132.2,1,10:04:37
278,54,74,72,1,89.0,0,1,0,0,116.52,1,10:04:38
279,123,197,53,1,91.0,0,1,0,0,238.22,1,10:04:39
280,97,134,63,1,92.0,0,1,0,0,177.01,1,10:04:40
281,136,192,72,0,92.0,0,1,0,0,246.06,1,10:04:41
282,52,42,66,1,91.0,0,1,0,0,93.94,1,10:04:42
283,23,105,77,0,91.0,0,1,0,0,132.22,1,10:04:43
284,64,148,87,1,93.0,0,1,0,0,183.22,1,10:04:44
285,32,37,83,0,93.0,0,1,0,0,96.34,1,10:04:45
286,81,147,217,1,95.0,0,1,0,0,274.33,1,10:04:46
287,99,2,116,0,97.0,0,1,0,0,152.52,1,10:04:47
288,21,0,0,1,97.0,0,1,0,0,21.0,1,10:04:48
289,69,44,48,0,97.0,0,1,0,0,94.87,1,10:04:49
296,0,15,65,0,91.0,0,1,0,0,66.71,1,10:04:56
297,8,23,113,1,91.0,0,1,0,0,115.59,1,10:04:57
298,7,87,101,0,90.0,0,1,0,0,133.49,1,10:04:58
299,90,124,123,1,89.0,0,1,0,0,196.48,1,10:04:59
300,95,80,42,1,89.0,0,1,0,0,131.11,1,10:05:00
301,48,102,75,0,88.0,0,1,0,0,135.4,1,10:05:01
302,37,10,27,1,88.0,0,1,0,0,46.88,1,10:05:02
303,48,3,32,1,86.0,0,1,0,0,57.77,1,10:05:03
304,88,19,3,0,86.0,0,1,0,0,90.08,1,10:05:04
305,208,53,48,0,85.0,0,1,0,0,219.95,1,10:05:05
306,46,130,71,1,84.0,0,1,0,0,155.1,1,10:05:06
307,134,83,192,0,83.0,0,1,0,0,248.41,1,10:05:07
308,0,18,77,0,82.0,0,0,1,0,79.08,1,10:05:08
309,37,30,57,0,81.0,0,1,0,0,74.28,1,10:05:09
310,8,1,8,1,82.0,0,1,0,0,11.36,1,10:05:10
311,88,32,0,0,82.0,0,1,0,0,93.64,1,10:05:11
312,39,0,0,0,82.0,0,1,0,0,39.0,1,10:05:12
313,0,0,0,0,82.0,1,0,0,0,0.0,1,10:05:13
314,0,0,0,0,82.0,1,0,0,0,0.0,1,10:05:14
315,0,0,0,0,82.0,1,0,0,0,0.0,1,10:05:15
316,0,0,0,0,82.0,1,0,0,0,0.0,1,10:05:16
317,0,0,0,0,82.0,1,0,0,0,0.0,1,10:05:17
318,32,0,0,0,81.0,0,1,0,0,32.0,1,10:05:18
319,7,0,0,0,80.0,0,1,0,0,7.0,1,10:05:19
320,57,0,0,1,80.0,0,1,0,0,57.0,1,10:05:20
321,179,6,218,0,79.0,0,1,0,0,282.14,1,10:05:21
322,198,30,316,1,77.0,0,1,0,0,374.11,1,10:05:22
329,0,0,0,0,72.0,1,0,0,0,0.0,1,10:05:29
330,0,0,0,0,71.0,1,0,0,0,0.0,1,10:05:30
331,0,0,0,0,71.0,1,0,0,0,0.0,1,10:05:31
332,14,3,2,0,70.0,0,1,0,0,14.46,1,10:05:32
333,82,13,12,1,70.0,0,1,0,0,83.89,1,10:05:33
334,19,0,0,0,70.0,0,1,0,0,19.0,1,10:05:34
335,0,8,0,0,70.0,1,0,0,0,8.0,1,10:05:35
336,0,2,0,0,70.0,1,0,0,0,2.0,1,10:05:36
337,0,0,0,0,70.0,0,0,0,1,0.0,1,10:05:37
338,23,3,0,1,70.0,0,1,0,0,23.19,1,10:05:38
339,0,0,0,0,71.0,1,0,0,0,0.0,1,10:05:39
340,0,0,0,0,71.0,1,0,0,0,0.0,1,10:05:40
341,0,0,0,0,72.0,1,0,0,0,0.0,1,10:05:41
342,0,0,0,0,72.0,1,0,0,0,0.0,1,10:05:42
343,0,0,0,0,73.0,1,0,0,0,0.0,1,10:05:43
344,0,0,0,0,73.0,1,0,0,0,0.0,1,10:05:44
345,0,0,0,0,72.0,1,0,0,0,0.0,1,10:05:45
346,0,0,0,0,71.0,1,0,0,0,0.0,1,10:05:46
347,0,0,0,0,71.0,1,0,0,0,0.0,1,10:05:47
348,0,0,0,0,70.0,1,0,0,0,0.0,1,10:05:48
349,0,0,0,0,70.0,1,0,0,0,0.0,1,10:05:49
350,0,0,0,0,70.0,1,0,0,0,0.0,1,10:05:50
351,0,0,0,0,70.0,1,0,0,0,0.0,1,10:05:51
352,0,0,0,0,70.0,1,0,0,0,0.0,1,10:05:52
353,0,0,0,0,70.0,1,0,0,0,0.0,1,10:05:53
354,0,0,0,0,70.0,1,0,0,0,0.0,1,10:05:54
355,0,0,0,0,70.0,1,0,0,0,0.0,1,10:05:55
362,0,0,0,0,74.0,1,0,0,0,0.0,1,10:06:02
363,0,0,0,0,73.0,1,0,0,0,0.0,1,10:06:03
364,0,4,2,0,74.0,1,0,0,0,4.47,1,10:06:04
365,16,9,0,0,74.0,0,1,0,0,18.36,1,10:06:05
366,65,9,83,0,73.0,0,1,0,0,105.81,1,10:06:06
367,49,41,195,1,72.0,0,1,0,0,205.2,1,10:06:07
368,1,9,159,0,71.0,0,0,1,0,159.26,1,10:06:08
369,2,15,12,0,71.0,0,0,1,0,19.31,1,10:06:09
370,24,43,82,0,70.0,0,1,0,0,95.65,1,10:06:10
371,21,65,77,0,70.0,0,1,0,0,102.93,1,10:06:11
372,2,6,14,1,69.0,0,1,0,0,15.36,1,10:06:12
373,67,57,79,1,69.0,0,1,0,0,118.23,1,10:06:13
374,1,20,22,0,68.0,0,0,1,0,29.75,1,10:06:14
375,25,43,48,0,69.0,0,1,0,0,69.12,1,10:06:15
376,0,0,8,0,69.0,0,0,1,0,8.0,1,10:06:16
377,0,0,0,0,70.0,0,0,1,0,0.0,1,10:06:17
378,0,0,0,0,71.0,0,0,1,0,0.0,1,10:06:18
379,0,0,0,0,71.0,0,0,1,0,0.0,1,10:06:19
380,0,0,0,0,71.0,0,0,1,0,0.0,1,10:06:20
381,99,20,56,1,70.0,0,1,0,0,115.49,1,10:06:21
382,118,23,314,1,70.0,0,1,0,0,336.23,1,10:06:22
383,86,32,250,0,70.0,0,1,0,0,266.31,1,10:06:23
384,52,0,45,0,70.0,0,1,0,0,68.77,1,10:06:24
385,33,15,36,0,69.0,0,1,0,0,51.09,1,10:06:25
386,28,13,0,1,69.0,0,1,0,0,30.87,1,10:06:26
387,29,6,0,0,68.0,0,1,0,0,29.61,1,10:06:27
388,18,1,24,0,69.0,0,1,0,0,30.02,1,10:06:28
395,56,7,105,0,70.0,0,1,0,0,119.21,1,10:06:35
396,99,50,144,0,73.0,0,1,0,0,181.76,1,10:06:36
397,40,0,72,1,73.0,0,1,0,0,82.37,1,10:06:37
398,112,0,128,0,72.0,0,1,0,0,170.08,1,10:06:38
399,25,0,11,0,71.0,0,1,0,0,27.31,1,10:06:39
400,0,0,0,0,71.0,0,0,1,0,0.0,1,10:06:40
401,0,0,0,0,70.0,0,0,1,0,0.0,1,10:06:41
402,0,0,0,0,70.0,0,0,1,0,0.0,1,10:06:42
403,0,0,0,0,71.0,0,0,1,0,0.0,1,10:06:43
404,0,26,6,0,71.0,0,0,1,0,26.68,1,10:06:44
405,70,6,243,1,72.0,0,1,0,0,252.95,1,10:06:45
406,60,34,347,1,71.0,0,1,0,0,353.79,1,10:06:46
407,47,14,75,0,71.0,0,1,0,0,89.61,1,10:06:47
408,12,0,45,0,70.0,0,1,0,0,46.57,1,10:06:48
409,5,0,0,1,70.0,0,0,1,0,5.0,1,10:06:49
410,5,3,0,0,70.0,0,0,1,0,5.83,1,10:06:50
411,99,36,129,0,70.0,0,1,0,0,166.55,1,10:06:51
412,104,26,171,1,70.0,0,1,0,0,201.82,1,10:06:52
413,0,0,10,0,70.0,0,0,1,0,10.0,1,10:06:53
414,0,0,5,0,69.0,0,0,1,0,5.0,1,10:06:54
415,0,0,0,0,69.0,0,0,1,0,0.0,1,10:06:55
