time,heart_rate
0.0,92.0
1.0,92.66666666666666
2.0,93.42857142857142
3.0,94.26666666666665
4.0,95.16129032258064
5.0,95.64516129032258
6.0,96.38709677419354
7.0,96.74193548387096
8.0,96.38709677419354
9.0,96.70967741935483
10.0,96.87096774193549
11.0,97.4516129032258
12.0,97.74193548387096
13.0,98.41935483870967
14.0,98.74193548387096
15.0,97.87096774193549
16.0,96.90322580645162
17.0,95.90322580645162
18.0,94.35483870967741
19.0,93.06451612903226
20.0,91.93548387096774
21.0,90.87096774193549
22.0,90.35483870967742
23.0,90.64516129032259
24.0,90.80645161290323
25.0,90.38709677419355
26.0,89.67741935483872
27.0,88.29032258064515
28.0,87.06451612903226
29.0,85.93548387096774
30.0,85.38709677419354
31.0,85.64516129032256
32.0,86.32258064516128
33.0,87.19354838709677
34.0,87.64516129032259
35.0,87.35483870967741
36.0,86.6774193548387
37.0,85.29032258064515
38.0,84.06451612903226
39.0,82.93548387096774
40.0,82.38709677419354
41.0,83.16129032258064
42.0,84.09677419354838
43.0,85.61290322580643
44.0,86.90322580645162
45.0,88.06451612903226
46.0,89.12903225806451
47.0,90.16129032258064
48.0,90.64516129032259
49.0,90.87096774193549
50.0,90.96774193548387
51.0,90.48387096774194
52.0,90.2258064516129
53.0,90.09677419354838
54.0,90.03225806451613
55.0,90.0
56.0,90.0
57.0,89.48387096774194
58.0,89.22580645161291
59.0,88.58064516129033
60.0,87.74193548387098
61.0,87.32258064516128
62.0,87.12903225806451
63.0,87.54838709677419
64.0,87.7741935483871
65.0,88.41935483870968
66.0,88.74193548387098
67.0,88.90322580645162
68.0,88.96774193548387
69.0,89.0
70.0,88.48387096774194
71.0,88.22580645161291
72.0,88.09677419354838
73.0,88.03225806451613
74.0,88.0
75.0,87.48387096774192
76.0,87.2258064516129
77.0,87.61290322580645
78.0,88.3225806451613
79.0,89.19354838709677
80.0,90.16129032258064
81.0,90.12903225806451
82.0,90.09677419354838
83.0,89.03225806451613
84.0,87.96774193548387
85.0,87.41935483870967
86.0,86.64516129032256
87.0,87.29032258064515
88.0,88.16129032258064
89.0,89.12903225806451
90.0,90.12903225806451
91.0,91.16129032258064
92.0,91.64516129032259
93.0,92.38709677419355
94.0,93.25806451612902
95.0,93.6774193548387
96.0,94.38709677419355
97.0,95.25806451612902
98.0,96.70967741935483
99.0,97.93548387096774
100.0,98.03225806451613
101.0,98.06451612903226
102.0,97.54838709677419
103.0,96.2258064516129
104.0,95.54838709677419
105.0,94.70967741935483
106.0,93.25806451612902
107.0,92.54838709677419
108.0,92.2258064516129
109.0,92.06451612903226
110.0,92.51612903225806
111.0,92.7741935483871
112.0,92.90322580645162
113.0,92.45161290322581
114.0,91.70967741935485
115.0,91.3225806451613
116.0,90.61290322580646
117.0,90.25806451612904
118.0,91.64516129032259
119.0,93.38709677419355
120.0,94.7741935483871
121.0,95.48387096774194
122.0,95.83870967741936
123.0,95.45161290322581
124.0,94.70967741935483
125.0,93.80645161290323
126.0,92.83870967741936
127.0,92.87096774193549
128.0,92.90322580645162
129.0,93.45161290322581
130.0,94.25806451612902
131.0,94.6774193548387
132.0,94.87096774193549
133.0,94.96774193548387
134.0,95.0
135.0,95.51612903225806
136.0,96.29032258064515
137.0,96.6774193548387
138.0,96.87096774193549
139.0,96.45161290322581
140.0,96.2258064516129
141.0,96.61290322580645
142.0,96.80645161290323
143.0,97.41935483870967
144.0,98.25806451612902
145.0,98.6774193548387
146.0,98.87096774193549
147.0,98.4516129032258
148.0,97.19354838709677
149.0,95.51612903225806
150.0,94.16129032258064
151.0,92.45161290322581
152.0,91.09677419354838
153.0,89.41935483870968
154.0,88.09677419354838
155.0,86.93548387096774
156.0,86.38709677419354
157.0,86.12903225806451
158.0,86.03225806451613
159.0,86.0
160.0,86.0
161.0,86.0
162.0,85.48387096774192
163.0,85.2258064516129
164.0,85.09677419354838
165.0,85.03225806451613
166.0,85.0
167.0,85.51612903225805
168.0,85.77419354838709
169.0,85.90322580645162
170.0,85.96774193548387
171.0,85.48387096774192
172.0,84.70967741935483
173.0,83.80645161290323
174.0,82.83870967741936
175.0,81.83870967741936
176.0,80.83870967741936
177.0,81.38709677419354
178.0,82.19354838709677
179.0,82.61290322580643
180.0,83.87096774193549
181.0,84.51612903225805
182.0,84.80645161290323
183.0,84.41935483870967
184.0,84.2258064516129
185.0,84.09677419354838
186.0,84.54838709677418
187.0,84.7741935483871
188.0,85.93548387096774
189.0,86.0
190.0,85.51612903225805
191.0,84.74193548387096
192.0,83.83870967741936
193.0,83.35483870967741
194.0,82.61290322580643
195.0,82.7741935483871
196.0,82.87096774193549
197.0,83.4516129032258
198.0,84.25806451612902
199.0,85.19354838709677
200.0,86.16129032258064
201.0,86.64516129032256
202.0,86.87096774193549
203.0,86.4516129032258
204.0,85.70967741935482
205.0,85.32258064516128
206.0,84.61290322580643
207.0,84.25806451612902
208.0,84.09677419354838
209.0,84.54838709677418
210.0,84.7741935483871
211.0,84.90322580645162
212.0,84.96774193548387
213.0,85.0
214.0,84.48387096774192
215.0,84.2258064516129
216.0,84.61290322580643
217.0,84.80645161290323
218.0,84.90322580645162
219.0,84.96774193548387
220.0,84.48387096774192
