time,rot_x,rot_y,rot_z
0.0,0.0,0.16354778348370957,0.07254374463416215
1.0,0.0,0.07718973847318876,0.01781412462949341
2.0,0.0,0.02418302034018175,0.022723030818595627
3.0,0.0,0.30168901123279696,-0.04574134125968668
4.0,0.0,-0.2818155428285245,0.005395454078756769
5.0,-0.0028827707346519363,-0.20501619280199834,0.001511090183379171
6.0,-0.0014413853673259681,-0.2706941676268377,0.010242071747614188
7.0,-0.0007206926836629841,0.051478786009273914,0.0025872490642740694
8.0,-0.0037504727091248412,-0.10616830526824031,0.025220358015551197
9.0,-0.0018752363545624206,-0.016509316133880448,-0.031527768275957636
10.0,-0.0008475315918233373,-0.13057650634751106,0.010482423710233068
11.0,-0.00042376579591166865,-0.2762407913863614,-0.010867494807010776
12.0,-0.00021188289795583432,0.15525592652011322,0.018358849484824205
13.0,-0.0027651904857695997,0.06436586008563423,-0.02776290416695904
14.0,-0.0013825952428847999,0.03905942465109691,-0.008535070999812532
15.0,-0.0006912976214423999,-0.15948435147434864,0.02377750135441764
16.0,-0.00034564881072119997,-0.2233122253242545,0.016115118341500773
17.0,-0.00017282440536059998,-0.3079302635048958,-0.018432892484187363
18.0,0.0,-0.5204956732483572,-0.01835016701493526
19.0,0.0,-0.3371943258632042,-0.00698788758722336
20.0,0.0,-0.11133420814847994,-0.007307223821045834
21.0,0.0,0.025730387245506164,-0.025172159816513398
22.0,0.0,0.09550186587594178,-0.022927665860581346
23.0,-0.003251525868158862,0.2954365210107927,0.022213121317350395
24.0,-0.001625762934079431,0.10099327418494024,0.007280689365441463
25.0,-0.0008128814670397155,0.29626878871223394,0.03062624360169144
26.0,-0.00040644073351985775,0.43081468177115323,-0.006230613058295444
27.0,-0.0034517806050032482,0.22019578111828536,-0.0024124144441007474
28.0,-0.0016242801191216597,0.07021750735362457,-0.0033064809200987516
29.0,-0.0008121400595608298,-0.15324946772127584,-0.006380605136765214
30.0,-0.0004060700297804149,-0.495535737067724,0.013130029068039287
31.0,-0.00020303501489020746,-0.6187794924516086,0.02214882654151618
32.0,0.0,-0.2889708056129006,-0.009042154066704639
33.0,0.0,-0.14042655457132744,-0.007047595023081588
34.0,-0.0032971640631758708,0.0722865058794813,0.009248660994974546
35.0,-0.0016485820315879354,0.10661715317254986,-0.01905688950466515
36.0,-0.0008242910157939677,-0.13300819885160325,0.01743462715716003
37.0,-0.00041214550789698385,-0.17067261243829251,0.05204874116325925
38.0,-0.00020607275394849192,-0.06099354228032243,0.04194322761531058
39.0,0.0,-0.01224355217182388,0.01682250868560296
40.0,-0.003374848711569193,-0.3010780721125574,0.07276492092150258
41.0,-0.0016874243557845965,-0.2900350075206702,0.016922587448512216
42.0,-0.0008437121778922983,-0.241673888541325,0.026798101439044163
43.0,-0.00042185608894614913,-0.0982794192975712,0.018166121713186167
44.0,-0.00021092804447307457,-0.24809201494450203,-0.01158077663719393
45.0,0.0,-0.03868001774813472,-0.20050706135268162
46.0,0.0,-0.0016562361062235527,-0.08794990970105604
47.0,0.0,-0.0071538736894834545,-0.0935878331266506
48.0,0.0,0.04005922763718891,0.00042683095660817766
49.0,0.0,0.0306834102977602,0.0011479568304101307
50.0,-0.002986545849110576,-0.23891960367500786,0.019688252722621837
51.0,-0.001493272924555288,0.0011839718147407807,0.009611331728471974
52.0,-0.000746636462277644,-0.22520014219476908,0.004878000681198181
53.0,-0.000373318231138822,-0.24277190478788754,-0.0015122606574406766
54.0,-0.000186659115569411,-0.17202251136366087,-0.013916084995220204
55.0,-0.003164896030342402,-0.2965650254291241,0.034744985533964226
56.0,-0.001582448015171201,-0.2932308616137175,0.03844550746055222
57.0,-0.0007912240075856005,-0.11889958307437469,0.04035857357709812
58.0,-0.00039561200379280027,-0.12733273799764136,-0.007735872188392501
59.0,-0.00019780600189640013,-0.24353803326259654,-0.02320355398706727
60.0,0.0,-0.046364364116152454,0.027570461355082933
61.0,0.0,-0.11283663416223498,0.001882714021797939
62.0,0.0,-0.48209346324403696,0.008896944809430362
63.0,-0.002978607975384578,-0.6867084567630594,0.009972756931291554
64.0,-0.001489303987692289,-0.30219871768261247,-0.0015838618625668372
65.0,-0.003956164078995484,-0.1668154889200754,0.03327129554899584
66.0,-0.001978082039497742,0.0429896192596534,0.03822455520937025
67.0,-0.000989041019748871,0.039981252987794536,0.012928022663334355
68.0,-0.0004014390106436674,-0.1310825443985103,-0.026232737542958805
69.0,-0.0002007195053218337,0.09035128653380922,0.020911467571559136
70.0,0.0,0.24161336827529656,-0.004618684847239599
71.0,-0.002943004458862907,0.018487438560666564,0.024200766284530148
72.0,-0.0014715022294314534,0.035450700571180854,-0.027174877296293476
73.0,-0.0007357511147157267,-0.042555341780886075,-0.007432083872368523
74.0,-0.00036787555735786335,-0.06934752667979503,0.05671349907332689
75.0,-0.003272070905368083,0.09065589473274926,0.10012722057058342
76.0,-0.0015440665633445758,0.24060564935717405,0.041723653804785904
77.0,-0.0007720332816722879,0.23786034822530452,0.04549512406738504
78.0,-0.00038601664083614396,-0.012439541787500202,0.021505036310820236
79.0,-0.00019300832041807198,-0.17133376696575064,0.01251421779484444
80.0,0.0,-0.4867818213187407,0.026482238030218916
81.0,0.0,-0.4550076547468461,0.014177438669731536
82.0,0.0,-0.18068791937277257,-0.018810063511767925
83.0,0.0,0.08896033905992513,-0.022435196327608375
84.0,-0.0031306388976035317,0.2164546190046347,-0.01575409008163967
85.0,-0.004694976353333363,-0.05352430265114205,-0.008955413994206992
86.0,-0.0023474881766666813,-0.04655283417224547,0.013427263864937495
87.0,-0.004417371730853603,-0.029935650677453816,0.039738668840771534
88.0,-0.0022086858654268016,-0.14715726299157864,0.003433736301829627
89.0,-0.0010065104671632902,-0.1782898164930547,0.019068953050285223
90.0,-0.00040545345531503276,-0.22483285828052707,0.004481197912436276
91.0,-0.00020272672765751638,-0.05141542515543104,0.03377090845863121
92.0,0.0,-0.002280924415820479,0.004089921379031709
93.0,-0.003174840714580504,0.06380553890248865,0.023837999216877768
94.0,-0.001587420357290252,0.17973076136284374,0.030287861907968675
95.0,-0.003877559288535218,0.3011357729974431,0.023199129157167455
96.0,-0.001938779644267609,-0.029249222905828348,0.0071802207485397816
97.0,-0.0009693898221338045,0.20591985561970322,-0.0040839465696211556
98.0,-0.0003854811387362615,-0.05200514106707188,-0.0004928062552471382
99.0,-0.00019274056936813074,-0.11147056874634409,0.042956294082062065
100.0,0.0,-0.014750627063720316,0.03004829304944583
101.0,0.0,-0.1259791605742413,0.03057441024515347
102.0,-0.0028750500774872897,-0.06538920256198533,0.03183069689914973
103.0,-0.004409063448659637,0.009323890858871909,0.02204513524861594
104.0,-0.0022045317243298184,-0.07672462401917725,0.02906589950172945
105.0,-0.0011022658621649092,-0.12475566693960394,-0.002194038728342538
106.0,-0.0005511329310824546,-0.14934435769227178,-0.0073774722916195865
107.0,-0.00018572115061974947,-0.29873973701078144,0.011359667859564736
108.0,0.0,-0.20971011438739207,-0.0025534396719434933
109.0,0.0,-0.10576710985557572,-0.025816750349394436
110.0,-0.0031755553582971845,0.17883856061025594,0.022244061322174394
111.0,-0.0015877776791485923,0.08461757958971686,-0.030182727786654207
112.0,-0.0007938888395742961,-0.19333120332588716,-0.04838806463648296
113.0,-0.00039694441978714806,-0.0826136629357205,-0.03180224952856303
114.0,-0.0030933518888995788,-0.20706794894313335,0.011836024256360645
115.0,-0.003026417471955624,0.12022454158814606,0.042646088890856484
116.0,-0.003000838471194066,0.20977771249482383,0.04176281355260174
117.0,-0.001500419235597033,0.2157165886460342,0.02193748163610486
118.0,-0.0007502096177985165,0.31392008831410667,0.008341823510515902
119.0,-0.0002846398189303206,0.42781067946307205,-0.014211944468254687
120.0,-9.297685845101587e-05,0.26922517059152196,-0.0021231490309984178
121.0,-0.00304258832979622,0.4214880057963818,0.019408548010234557
122.0,-0.00152129416489811,0.06200815790753059,0.050030949837398656
123.0,-0.000760647082449055,0.08616086409995526,0.027846994224169225
124.0,-0.0003803235412245275,-0.08824464357261463,0.03263279112012681
125.0,-0.00019016177061226375,-0.025403277570179697,0.03214611333264897
126.0,-0.003042434383375172,0.05153287264848045,0.028871211953249244
127.0,-0.001521217191687586,-0.2008362792608105,0.02436553827230571
128.0,-0.000760608595843793,-0.24482088343417324,0.03224037907265365
129.0,-0.0003803042979218965,-0.03805542929713797,0.0009579367736196175
130.0,-0.00019015214896094825,-0.1421766024716819,-0.004281977368825444
131.0,-0.003085412476901618,-0.1256638275403333,0.03290915870967316
132.0,-0.001542706238450809,-0.17497850894660028,-0.00992436590931704
133.0,-0.0007713531192254045,-0.13781101381463653,-0.009876097501307534
134.0,-0.0036200953029238967,-0.15499698851260924,0.008079677572386578
135.0,-0.0018100476514619484,-0.012608126193937967,0.032563016986182164
136.0,-0.0008086046858277986,0.25392697851892027,0.004260925467058524
137.0,-0.0004043023429138993,0.1774166213902663,-0.019776464109044777
138.0,-0.00020215117145694965,-0.1149705097432739,-0.04921075011064438
139.0,0.0,-0.15641233506713675,-0.030879715682577358
140.0,0.0,-0.2205391561996508,-0.027581414362209906
141.0,0.0,-0.590106358812178,-0.05055445596255405
142.0,0.0,-0.21170857535172422,-0.006910619388327658
143.0,-0.0032309497568151616,-0.013999760023190144,0.030747875262579237
144.0,-0.0016154748784075808,0.0028053253639741703,0.023878343946537026
145.0,-0.0008077374392037904,-0.19181492733244931,0.010018963085542561
146.0,-0.0004038687196018952,-0.3717040774631989,-0.02157795892308005
147.0,-0.0002019343598009476,-0.46944866061907814,-0.02131679135429595
148.0,0.0,-0.10516130120206216,-0.010744958988400742
149.0,0.0,0.02320404874021624,-0.0244428148289542
150.0,-0.0028565006537132087,-0.12680515973172082,0.020007713191188443
151.0,-0.0014282503268566043,-0.08761768453189209,0.05362350475051539
152.0,-0.0007141251634283022,-0.12460664365679827,0.0664064003516578
153.0,-0.0035582751380543866,0.029962831939984252,0.06463849479574917
154.0,-0.0017791375690271933,0.13606263457702183,0.01879079181385344
155.0,-0.0008003031390850588,0.15558116934366994,0.048230593715148755
156.0,-0.0004499272156335039,-0.062447583629109876,0.010382641645377803
157.0,-0.00022496360781675196,0.12297995063168739,-0.00812665039764153
158.0,-1.2443911522743622e-05,0.2447598034426827,0.0001435205375209178
159.0,-6.221955761371811e-06,0.08991870527182214,0.02103017988690625
160.0,-3.1109778806859054e-06,-0.2073659843077582,-0.003924479023834453
161.0,0.0,0.09648724035054336,0.03234635927431844
162.0,0.0,0.29829896118281274,0.03624399889695455
163.0,-0.0026226028265058645,0.14400669020450527,0.05406279359872308
164.0,-0.0013113014132529323,0.20435224221197928,0.026211268515302356
165.0,-0.0006556507066264661,-0.1698672313508014,0.010746736999704317
166.0,-0.00032782535331323307,-0.04851176944004715,0.0093767216233911
167.0,-0.00016391267665661653,-0.09748503060066882,0.018891443457959966
168.0,0.0,0.19032747764139546,-0.0005477999503061704
169.0,0.0,-0.21220899212631478,0.012830793004417801
170.0,0.0,-0.1279282670155102,-0.0016155651339783902
171.0,0.0,-0.0715317058700747,0.0006900497764057263
172.0,0.0,-0.07320805115980639,-0.006100947512411677
173.0,0.0,0.17831846403538276,0.03121280454788126
174.0,-0.0029049488374111457,0.27189471204032867,0.03270963080750268
175.0,-0.0014524744187055729,-0.04933304725651319,0.008324850669264458
176.0,-0.0007262372093527864,-0.1269602403475647,-0.010759309124212454
177.0,-0.0003631186046763932,-0.23996897375942874,-0.06108556619372011
178.0,-0.0001815593023381966,-0.2611958867577008,-0.06889508661791441
179.0,0.0,-0.20580756989538787,-0.09791049257925119
180.0,0.0,0.05305889703054591,-0.054864771119267144
181.0,0.0,-0.11751522896635802,-0.058776342432465045
182.0,0.0,-0.14137576649203928,-0.007170732354940746
183.0,-0.0031594793715138264,0.090115353118116,0.024810938645437465
184.0,-0.0015797396857569132,0.19148751468066533,-0.0199763752896536
185.0,-0.0037444691307325843,0.017852044361314878,0.011208139438314096
186.0,-0.0018722345653662922,0.07192200015140429,-0.01016583458398233
187.0,-0.0009361172826831461,-0.2007589216718384,0.02417580808663487
188.0,-0.00036932491098176596,-0.10022131553799356,0.013160148230640335
189.0,-0.00018466245549088298,-0.00043659641569902125,0.009883029088942227
190.0,0.0,0.12521242479919567,-0.0007324960149308621
191.0,0.0,-0.03797340228724331,0.026335116747997298
192.0,-0.0029305858775508834,0.01636387398401922,0.016780627532116257
193.0,-0.0014652929387754417,0.2715081918829056,0.07167288078934297
194.0,-0.0007326464693877208,-0.05417094370785672,0.02025639650996687
195.0,-0.0035782378634111422,0.010759013314526743,0.01832100749280828
196.0,-0.0017891189317055711,0.09740493297593676,-0.030787362190401405
197.0,-0.0008029786571793205,0.0780278303256754,-0.011459812598841618
198.0,-0.00040148932858966025,-0.06191516955521709,-0.03132899097780358
199.0,-0.00020074466429483012,0.03348759722510074,-0.03710140372652074
200.0,0.0,0.30767916130452877,-0.020371134939729668
201.0,0.0,0.1799267876623136,-0.03239697477938539
202.0,-0.003143729755053119,0.30667551686598093,0.03492499434317163
203.0,-0.0015718648775265595,-0.07872615519176662,-0.0231271577621443
204.0,-0.0007859324387632798,-0.25831326440052493,-0.023842788141916173
205.0,-0.0003929662193816399,-0.42866012976367374,0.010523881572709799
206.0,-0.00019648310969081994,-0.22454059686534542,0.03107808924978384
207.0,-0.0030338020596363366,-0.0931179005039126,0.021297200328075395
208.0,-0.0015169010298181683,-0.051280149623075165,0.053213709028782766
209.0,-0.0007584505149090842,-0.11125971264800089,0.02494936637403753
210.0,-0.0003792252574545421,-0.1931708213891318,0.01615399292141378
211.0,-0.00018961262872727104,0.004910758131818932,0.023851090657457878
212.0,-0.0030875670751003017,0.2518507338489105,0.043253146431306344
213.0,-0.0015437835375501508,0.17616568005952465,0.0010264123769827792
214.0,-0.0007718917687750754,0.403727867790594,-0.0045470826107603035
215.0,-0.0003859458843875377,0.124948349650391,0.0010818622333725824
216.0,-0.00019297294219376885,-0.15922691158207236,7.95222774161499e-05
217.0,-0.002903850494192234,-0.422352780267385,0.022723775111354986
218.0,-0.001451925247096117,-0.24414462069096693,0.02773137548231857
219.0,-0.0007259626235480585,-0.18463617823913586,-0.0027627526892197198
220.0,-0.003572428582756233,-0.09084200541058866,0.016295964863970152
221.0,-0.0017862142913781165,0.08037930033035179,0.023351677545284555
