,Axis1,Axis2,Axis3,Steps,HR,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude,day,time
221,95,124,31,1,126.0,0,1,0,0,159.25,1,10:06:41
222,49,40,16,0,109.0,0,1,0,0,65.25,1,10:06:42
223,44,27,20,0,106.0,0,1,0,0,55.36,1,10:06:43
224,8,2,11,1,101.0,0,1,0,0,13.75,1,10:06:44
225,16,29,16,1,99.0,0,1,0,0,36.78,1,10:06:45
226,18,55,32,0,97.0,0,1,0,0,66.13,1,10:06:46
227,43,24,40,1,96.0,0,1,0,0,63.44,1,10:06:47
228,129,131,99,1,95.0,0,1,0,0,208.81,1,10:06:48
229,180,140,123,1,100.0,0,1,0,0,259.09,1,10:06:49
230,40,160,149,1,106.0,0,1,0,0,222.26,1,10:06:50
231,53,66,198,0,106.0,0,1,0,0,215.33,1,10:06:51
232,71,110,107,1,106.0,0,1,0,0,169.09,1,10:06:52
233,41,48,130,0,106.0,0,1,0,0,144.52,1,10:06:53
234,93,200,35,1,106.0,0,1,0,0,223.32,1,10:06:54
235,73,139,34,0,106.0,0,1,0,0,160.64,1,10:06:55
236,16,2,5,0,106.0,0,1,0,0,16.88,1,10:06:56
237,12,9,4,0,99.0,0,1,0,0,15.52,1,10:06:57
244,0,0,0,0,82.0,1,0,0,0,0.0,1,10:07:04
245,0,0,0,0,81.0,1,0,0,0,0.0,1,10:07:05
246,0,0,0,0,80.0,1,0,0,0,0.0,1,10:07:06
247,0,0,0,0,79.0,1,0,0,0,0.0,1,10:07:07
248,0,0,0,0,78.0,1,0,0,0,0.0,1,10:07:08
249,0,0,0,0,77.0,1,0,0,0,0.0,1,10:07:09
250,0,0,0,0,77.0,1,0,0,0,0.0,1,10:07:10
251,0,0,0,0,78.0,1,0,0,0,0.0,1,10:07:11
252,0,7,0,0,77.0,1,0,0,0,7.0,1,10:07:12
253,0,0,0,0,76.0,1,0,0,0,0.0,1,10:07:13
254,19,41,0,1,75.0,0,1,0,0,45.19,1,10:07:14
255,15,11,0,0,74.0,0,1,0,0,18.6,1,10:07:15
256,0,10,0,0,73.0,1,0,0,0,10.0,1,10:07:16
257,0,4,0,0,73.0,1,0,0,0,4.0,1,10:07:17
258,0,0,0,0,73.0,1,0,0,0,0.0,1,10:07:18
259,124,9,111,0,72.0,0,1,0,0,166.67,1,10:07:19
260,63,0,69,1,72.0,0,1,0,0,93.43,1,10:07:20
261,58,0,67,0,72.0,0,1,0,0,88.62,1,10:07:21
262,82,0,40,0,72.0,0,1,0,0,91.24,1,10:07:22
263,37,0,30,0,73.0,0,1,0,0,47.63,1,10:07:23
264,0,0,18,0,72.0,1,0,0,0,18.0,1,10:07:24
265,35,12,13,0,72.0,0,1,0,0,39.22,1,10:07:25
266,0,0,0,0,71.0,1,0,0,0,0.0,1,10:07:26
267,0,0,0,0,72.0,1,0,0,0,0.0,1,10:07:27
268,0,0,0,0,72.0,1,0,0,0,0.0,1,10:07:28
269,0,0,0,0,73.0,1,0,0,0,0.0,1,10:07:29
270,0,0,0,0,72.0,1,0,0,0,0.0,1,10:07:30
277,0,0,0,0,69.0,0,0,1,0,0.0,1,10:07:37
278,0,0,0,0,69.0,0,0,1,0,0.0,1,10:07:38
279,0,0,0,0,68.0,0,0,1,0,0.0,1,10:07:39
280,0,0,0,0,67.0,0,0,1,0,0.0,1,10:07:40
281,0,0,0,0,67.0,0,0,1,0,0.0,1,10:07:41
282,0,0,0,0,66.0,0,0,1,0,0.0,1,10:07:42
283,0,0,0,0,66.0,0,0,1,0,0.0,1,10:07:43
284,0,0,0,0,65.0,0,0,1,0,0.0,1,10:07:44
285,0,0,0,0,64.0,0,0,1,0,0.0,1,10:07:45
286,0,0,0,0,63.0,0,0,1,0,0.0,1,10:07:46
287,0,0,0,0,63.0,0,0,1,0,0.0,1,10:07:47
288,70,90,92,0,63.0,0,1,0,0,146.51,1,10:07:48
289,3,39,68,1,63.0,0,0,0,1,78.45,1,10:07:49
290,20,62,59,0,63.0,0,1,0,0,87.89,1,10:07:50
291,41,166,69,1,63.0,0,1,0,0,184.39,1,10:07:51
292,1,105,10,0,63.0,1,0,0,0,105.48,1,10:07:52
293,101,135,138,0,63.0,0,1,0,0,217.88,1,10:07:53
294,22,5,47,1,64.0,0,1,0,0,52.13,1,10:07:54
295,16,0,32,0,65.0,0,1,0,0,35.78,1,10:07:55
296,0,0,6,0,66.0,0,0,1,0,6.0,1,10:07:56
297,0,0,0,0,68.0,0,0,1,0,0.0,1,10:07:57
298,0,0,0,0,70.0,0,0,1,0,0.0,1,10:07:58
299,0,0,0,0,71.0,0,1,0,0,0.0,1,10:07:59
300,0,0,0,0,71.0,0,1,0,0,0.0,1,10:08:00
301,0,0,0,0,71.0,0,1,0,0,0.0,1,10:08:01
302,0,0,0,0,70.0,0,1,0,0,0.0,1,10:08:02
303,0,0,0,0,69.0,0,1,0,0,0.0,1,10:08:03
310,130,227,14,0,65.0,0,1,0,0,261.96,1,10:08:10
311,38,72,50,1,65.0,0,1,0,0,95.54,1,10:08:11
312,0,68,0,0,64.0,0,0,1,0,68.0,1,10:08:12
313,0,10,0,0,63.0,0,0,1,0,10.0,1,10:08:13
314,0,0,0,0,64.0,0,0,1,0,0.0,1,10:08:14
315,0,0,0,0,63.0,0,0,1,0,0.0,1,10:08:15
316,0,0,0,0,63.0,0,0,1,0,0.0,1,10:08:16
317,0,0,0,0,62.0,0,0,1,0,0.0,1,10:08:17
318,0,0,0,0,61.0,0,0,1,0,0.0,1,10:08:18
319,0,0,0,0,61.0,0,0,1,0,0.0,1,10:08:19
320,0,0,0,0,61.0,0,0,1,0,0.0,1,10:08:20
321,0,0,0,0,62.0,0,0,1,0,0.0,1,10:08:21
322,0,0,0,0,64.0,0,0,1,0,0.0,1,10:08:22
323,0,0,0,0,63.0,0,0,1,0,0.0,1,10:08:23
324,0,0,0,0,61.0,0,0,1,0,0.0,1,10:08:24
325,0,0,0,0,61.0,0,0,1,0,0.0,1,10:08:25
326,0,0,0,0,60.0,0,0,1,0,0.0,1,10:08:26
327,0,0,0,0,60.0,0,0,1,0,0.0,1,10:08:27
328,0,0,0,0,59.0,0,0,1,0,0.0,1,10:08:28
329,0,0,0,0,58.0,0,0,1,0,0.0,1,10:08:29
330,0,0,0,0,59.0,0,0,1,0,0.0,1,10:08:30
331,0,0,0,0,59.0,0,0,1,0,0.0,1,10:08:31
332,0,0,0,0,58.0,0,0,1,0,0.0,1,10:08:32
333,0,0,0,0,59.0,0,0,1,0,0.0,1,10:08:33
334,0,0,0,0,59.0,0,0,1,0,0.0,1,10:08:34
335,0,0,0,0,58.0,0,0,1,0,0.0,1,10:08:35
336,0,0,0,0,58.0,0,0,1,0,0.0,1,10:08:36
343,0,0,0,0,58.0,0,0,1,0,0.0,1,10:08:43
344,0,0,0,0,57.0,0,0,1,0,0.0,1,10:08:44
345,0,0,0,0,57.0,0,0,1,0,0.0,1,10:08:45
346,0,0,0,0,56.0,0,0,1,0,0.0,1,10:08:46
347,0,0,0,0,56.0,0,0,1,0,0.0,1,10:08:47
348,0,0,0,0,56.0,0,0,1,0,0.0,1,10:08:48
349,0,0,0,0,56.0,0,0,1,0,0.0,1,10:08:49
350,0,0,0,0,56.0,0,0,1,0,0.0,1,10:08:50
351,0,0,0,0,55.0,0,0,1,0,0.0,1,10:08:51
352,0,0,0,0,55.0,0,0,1,0,0.0,1,10:08:52
353,0,0,0,0,55.0,0,0,1,0,0.0,1,10:08:53
354,0,0,0,0,55.0,0,0,1,0,0.0,1,10:08:54
355,0,0,0,0,55.0,0,0,1,0,0.0,1,10:08:55
356,0,0,0,0,54.0,0,0,1,0,0.0,1,10:08:56
357,0,0,0,0,55.0,0,0,1,0,0.0,1,10:08:57
358,0,0,0,0,55.0,0,0,1,0,0.0,1,10:08:58
359,0,0,0,0,54.0,0,0,1,0,0.0,1,10:08:59
360,0,0,0,0,55.0,0,0,1,0,0.0,1,10:09:00
361,0,0,0,0,54.0,0,0,1,0,0.0,1,10:09:01
362,0,0,0,0,54.0,0,0,1,0,0.0,1,10:09:02
363,0,0,0,0,54.0,0,0,1,0,0.0,1,10:09:03
364,0,0,0,0,54.0,0,0,1,0,0.0,1,10:09:04
365,0,0,0,0,54.0,0,0,1,0,0.0,1,10:09:05
366,0,0,0,0,55.0,0,0,1,0,0.0,1,10:09:06
367,0,0,0,0,55.0,0,0,1,0,0.0,1,10:09:07
368,0,0,0,0,55.0,0,0,1,0,0.0,1,10:09:08
369,0,0,0,0,56.0,0,0,1,0,0.0,1,10:09:09
376,0,0,0,0,56.0,0,0,1,0,0.0,1,10:09:16
377,0,0,0,0,55.0,0,0,1,0,0.0,1,10:09:17
378,0,0,0,0,54.0,0,0,1,0,0.0,1,10:09:18
379,0,0,0,0,54.0,0,0,1,0,0.0,1,10:09:19
380,0,0,0,0,54.0,0,0,1,0,0.0,1,10:09:20
381,0,0,0,0,54.0,0,0,1,0,0.0,1,10:09:21
382,0,0,0,0,54.0,0,0,1,0,0.0,1,10:09:22
383,0,0,0,0,54.0,0,0,1,0,0.0,1,10:09:23
384,0,0,0,0,54.0,0,0,1,0,0.0,1,10:09:24
385,0,0,0,0,54.0,0,0,1,0,0.0,1,10:09:25
386,0,0,0,0,53.0,0,0,1,0,0.0,1,10:09:26
387,0,0,0,0,53.0,0,0,1,0,0.0,1,10:09:27
388,0,0,0,0,53.0,0,0,1,0,0.0,1,10:09:28
389,0,0,0,0,53.0,0,0,1,0,0.0,1,10:09:29
390,0,0,0,0,53.0,0,0,1,0,0.0,1,10:09:30
391,0,0,0,0,53.0,0,0,1,0,0.0,1,10:09:31
392,0,0,0,0,53.0,0,0,1,0,0.0,1,10:09:32
393,0,0,0,0,53.0,0,0,1,0,0.0,1,10:09:33
394,0,0,0,0,53.0,0,0,1,0,0.0,1,10:09:34
395,0,0,0,0,53.0,0,0,1,0,0.0,1,10:09:35
396,0,0,0,0,53.0,0,0,1,0,0.0,1,10:09:36
397,0,0,0,0,52.0,0,0,1,0,0.0,1,10:09:37
398,0,0,0,0,53.0,0,0,1,0,0.0,1,10:09:38
399,0,0,0,0,53.0,0,0,1,0,0.0,1,10:09:39
400,0,0,0,0,52.0,0,0,1,0,0.0,1,10:09:40
401,0,0,0,0,52.0,0,0,1,0,0.0,1,10:09:41
402,0,0,0,0,53.0,0,0,1,0,0.0,1,10:09:42
409,0,0,0,0,53.0,0,0,1,0,0.0,1,10:09:49
410,0,0,0,0,54.0,0,0,1,0,0.0,1,10:09:50
411,3,23,1,0,55.0,0,0,1,0,23.22,1,10:09:51
412,158,51,87,1,58.0,0,1,0,0,187.44,1,10:09:52
413,104,38,54,0,58.0,0,1,0,0,123.19,1,10:09:53
414,74,13,56,0,58.0,0,1,0,0,93.71,1,10:09:54
415,0,0,1,0,58.0,0,0,1,0,1.0,1,10:09:55
416,0,0,0,0,58.0,0,0,1,0,0.0,1,10:09:56
417,0,0,0,0,58.0,0,0,1,0,0.0,1,10:09:57
418,0,0,0,0,58.0,0,0,1,0,0.0,1,10:09:58
419,0,0,0,0,57.0,0,0,1,0,0.0,1,10:09:59
420,0,0,0,0,60.0,0,0,1,0,0.0,1,10:10:00
421,0,0,0,0,60.0,0,0,1,0,0.0,1,10:10:01
422,0,0,0,0,60.0,0,0,1,0,0.0,1,10:10:02
423,0,0,0,0,59.0,0,0,1,0,0.0,1,10:10:03
424,0,0,0,0,59.0,0,0,1,0,0.0,1,10:10:04
425,0,0,0,0,60.0,0,0,1,0,0.0,1,10:10:05
426,0,0,0,0,59.0,0,0,1,0,0.0,1,10:10:06
427,0,0,0,0,59.0,0,0,1,0,0.0,1,10:10:07
428,0,0,0,0,59.0,0,0,1,0,0.0,1,10:10:08
429,0,0,0,0,59.0,0,0,1,0,0.0,1,10:10:09
430,0,0,0,0,58.0,0,0,1,0,0.0,1,10:10:10
431,0,0,0,0,58.0,0,0,1,0,0.0,1,10:10:11
432,0,0,0,0,58.0,0,0,1,0,0.0,1,10:10:12
433,0,0,0,0,58.0,0,0,1,0,0.0,1,10:10:13
434,30,0,41,0,58.0,0,1,0,0,50.8,1,10:10:14
435,0,0,0,0,58.0,0,0,1,0,0.0,1,10:10:15
442,0,0,0,0,57.0,0,0,1,0,0.0,1,10:10:22
443,0,0,0,0,57.0,0,0,1,0,0.0,1,10:10:23
444,0,0,0,0,58.0,0,0,1,0,0.0,1,10:10:24
445,15,8,1,1,58.0,0,1,0,0,17.03,1,10:10:25
446,0,0,0,0,57.0,0,0,1,0,0.0,1,10:10:26
447,0,0,0,0,57.0,0,0,1,0,0.0,1,10:10:27
448,0,0,0,0,58.0,0,0,1,0,0.0,1,10:10:28
449,0,0,0,0,60.0,0,0,1,0,0.0,1,10:10:29
450,4,7,21,0,60.0,0,0,1,0,22.49,1,10:10:30
451,8,32,94,0,60.0,0,1,0,0,99.62,1,10:10:31
452,0,0,56,0,60.0,0,0,1,0,56.0,1,10:10:32
