Season,PLAYER,POS,BODY FAT %,HAND LENGTH (inches),HAND WIDTH (inches),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
2001-02,Sean Lampley,SF,8.00%,-,-,6' 5.5'',,8' 5'',213,6' 9.25''
2001-02,Shane Battier,SF-PF,9.30%,-,-,6' 8.25'',,8' 9'',229,6' 10.5''
2001-02,SirValiant Brown,PG,6.70%,-,-,5' 11'',,7' 8.5'',176,6' 4''
2001-02,Souleymane Wane,C,11.20%,-,-,6' 8.5'',,9' 1'',235,7' 5''
2001-02,Steven Hunter,C-PF,5.30%,-,-,6' 10.25'',,9' 0'',224,7' 4''
2001-02,Tate Decker,SF,13.60%,-,-,6' 9.25'',,8' 11'',218,6' 11.75''
2001-02,Tory Walker,SF,6.70%,-,-,6' 6.75'',,8' 8.5'',187,6' 11.25''
2001-02,Trenton Hassell,SG-SF,5.30%,-,-,6' 4.25'',,8' 3.5'',205,6' 8''
2001-02,Troy Murphy,PF,11.70%,-,-,6' 9.75'',,8' 9.5'',230,6' 11''
2001-02,Troy Ostler,PF-SF,8.00%,-,-,6' 8.75'',,8' 10.5'',200,7' 1.5''
2001-02,Tyson Chandler,SF-PF,6.70%,-,-,6' 11.5'',,9' 2'',224,7' 3''
2001-02,Will Solomon,PG-SG,4.00%,-,-,5' 11.75'',,8' 3.5'',172,6' 9.5''
2001-02,Zach Marbury,PG-SG,6.70%,-,-,6' 1.25'',,8' 0.5'',183,6' 3.5''
2000-01,A.J. Granger,SF,-%,-,-,6' 7.5'',,8' 7'',227,6' 9.5''
2000-01,A.J. Guyton,PG-SG,-%,-,-,6' 0.75'',,8' 1.5'',175,6' 3.75''
2000-01,Alex Scales,SG-PG,-%,-,-,6' 2.25'',,8' 1.5'',184.5,6' 9''
2000-01,Antonis Fotsis,SF,-%,-,-,6' 9.25'',,8' 10'',219,6' 8.5''
2000-01,Aubrey Reese,PG,-%,-,-,5' 10.75'',,7' 10.5'',189,6' 5.5''
2000-01,Bootsy Thornton,SG,-%,-,-,6' 3.5'',,8' 5.5'',194.5,6' 6.5''
2000-01,Brandon Kurtz,PF-C,-%,-,-,6' 9.5'',,8' 10.5'',257,6' 11.25''
2000-01,Brian Montonati,PF,-%,-,-,6' 8.75'',,8' 10'',215,6' 10.5''
2000-01,Caswell Cyrus,PF,-%,-,-,6' 7.75'',,8' 11.5'',220.5,7' 2''
2000-01,Ceedric Goodwyn,SF-PF,-%,-,-,6' 6'',,8' 8.5'',238,6' 10''
2000-01,Chris Porter,SF-PF,-%,-,-,6' 5.5'',,8' 7.5'',214,6' 9.5''
2000-01,Cory Hightower,SG-SF,-%,-,-,6' 5.5'',,8' 5.5'',183,6' 11''
2000-01,Damon Reed,PF-C,-%,-,-,6' 8.5'',,8' 8.5'',228,6' 9.5''
2000-01,Dan Langhi,SF,-%,-,-,6' 9'',,8' 8'',197.5,6' 8''
2000-01,Dan McClintock,C-PF,-%,-,-,6' 11'',,8' 11'',250,7' 1.5''
2000-01,Donnell Harvey,PF,-%,-,-,6' 7.25'',,8' 9.5'',220,7' 0.5''
2000-01,Ed Cota,PG,-%,-,-,6' 0.25'',,8' 0.5'',189,6' 4''
2000-01,Eddie Gill,PG,-%,-,-,5' 11.75'',,7' 9'',176,6' 4''
2000-01,Eddie House,SG-PG,-%,-,-,5' 11.75'',,7' 11'',176.5,6' 3.5''
2000-01,Eduardo Najera,PF-SF,-%,-,-,6' 6.5'',,8' 8.5'',234.5,6' 11.5''
2000-01,Eric Coley,SG-SF,-%,-,-,6' 4'',,8' 6'',205,6' 11''
2000-01,Ernest Brown,C,-%,-,-,6' 10'',,9' 1.5'',222.5,7' 1.25''
2000-01,Gabe Muoneke,PF-SF,-%,-,-,6' 6.25'',,8' 9'',244,7' 0.5''
2000-01,Harold Arceneaux,SG-SF,-%,-,-,6' 4.5'',,8' 7'',219,6' 8.5''
2000-01,Igor Rakocevic,PG,-%,-,-,6' 2.5'',,8' 4'',184,6' 5.25''
2000-01,Jabari Smith,PF-C,-%,-,-,6' 9.75'',,9' 1.5'',240.5,7' 2.5''
2000-01,Jacob Jaacks,PF,-%,-,-,6' 9.25'',,8' 9.5'',238,6' 11''
2000-01,Jamal Crawford,PG-SG,-%,-,-,6' 4.5'',,8' 6.5'',175,6' 10''
2000-01,Jameel Watkins,PF-C,-%,-,-,6' 9.5'',,9' 2'',244.5,7' 6''
2000-01,Jaquay Walls,PG,-%,-,-,6' 1.25'',,8' 0.5'',165.5,6' 2.5''
2000-01,Jarrett Stephens,PF,-%,-,-,6' 5.25'',,8' 7'',258,6' 9.25''
2000-01,Jason Hart,PG,-%,-,-,6' 1.75'',,8' 1.5'',181,6' 6''
2000-01,Jimmie Hunter,SG-PG,-%,-,-,6' 3'',,8' 4'',170,6' 8''
2000-01,Johnny Hemsley,SG-SF,-%,-,-,6' 2.75'',,8' 4.5'',200,6' 8''
2000-01,Julius Doc Robinson,PG,-%,-,-,6' 0'',,7' 11.5'',184,6' 3.75''
2000-01,Justin Love,PG-SG,-%,-,-,6' 1.5'',,8' 1.5'',205.5,6' 4.5''
2000-01,Karim Shabazz,C,-%,-,-,6' 11.5'',,9' 3.5'',224,7' 3''
2000-01,Kenyon Jones,PF-C,-%,-,-,6' 9'',,9' 0'',282,7' 1''
2000-01,Khalid El-Amin,PG,-%,-,-,5' 9'',,7' 9'',200,6' 1.5''
2000-01,Lamont Barnes,PF-C,-%,-,-,6' 8.5'',,9' 0'',235.5,7' 3.5''
2000-01,Lavor Postell,SG,-%,-,-,6' 4.5'',,8' 5.5'',205,6' 8.5''
2000-01,Malik Allen,PF-C,-%,-,-,6' 8.25'',,9' 1'',271,7' 2.5''
2000-01,Marcus Goree,SF-PF,-%,-,-,6' 7.5'',,8' 9.5'',239,7' 0.5''
2000-01,Mario Bland,PF,-%,-,-,6' 5.5'',,8' 7'',287,7' 0''
2000-01,Mark Karcher,SG,-%,-,-,6' 4'',,8' 6.5'',218,6' 8''
2000-01,Mark Madsen,PF,-%,-,-,6' 8'',,8' 8.5'',236.5,7' 0.5''
2000-01,Marko Jaric,SG-SF,-%,-,-,6' 6.5'',,8' 8'',210,6' 9''
2000-01,Matt Santangelo,PG,-%,-,-,6' 0'',,7' 10'',177,6' 3''
2000-01,Matthew Nielsen,PF,-%,-,-,6' 9'',,8' 10'',223,6' 10.5''
2000-01,Michael Hermon,SG-PG,-%,-,-,6' 2.75'',,8' 2.5'',195,6' 6.25''
2000-01,Michael Redd,SG-SF,-%,-,-,6' 4.75'',,8' 6'',214,6' 9''
2000-01,Mike Smith,SF,-%,-,-,6' 6.5'',,8' 7'',198,6' 8.5''
2000-01,Nate Johnson,SF,-%,-,-,6' 6.5'',,8' 8'',211.5,6' 8.5''
2000-01,Ndongo N'diaye,C,-%,-,-,6' 11.5'',,9' 4.5'',208,7' 3.5''
2000-01,Nick Sheppard,PF-C,-%,-,-,6' 9.5'',,8' 11.5'',273,6' 11''
2000-01,Pepe Sanchez,PG,-%,-,-,6' 3'',,8' 0'',194,6' 3.5''
2000-01,Pete Mickeal,SG-SF,-%,-,-,6' 5'',,8' 7.5'',222,6' 9.5''
2000-01,Primoz Brezec,C,-%,-,-,7' 0.75'',,9' 2'',243,7' 2''
2000-01,Reed Rawlings,SG-SF,-%,-,-,6' 6.25'',,8' 8'',218,6' 9.25''
2000-01,Ron Hale,SG-SF,-%,-,-,6' 7.5'',,8' 8.5'',202,6' 11''
2000-01,Schea Cotton,SF,-%,-,-,6' 4.25'',,8' 4'',219.5,6' 7''
2000-01,Shaheen Holloway,PG,-%,-,-,5' 9.5'',,7' 7'',174,5' 10''
2000-01,Speedy Claxton,PG,-%,-,-,5' 10.5'',,7' 10.5'',166,6' 0''
2000-01,Terrance Roberson,SF,-%,-,-,6' 5.5'',,8' 7.5'',209,6' 8''
2000-01,Vassil Evtimov,PF,-%,-,-,6' 9.75'',,8' 10.5'',262,6' 10.5''
