Player,Team,Affiliation,Year,Round Number,Round Pick,Overall Pick
Theodore Werner,St. Louis Hawks,Washington State,1965,5,6,41
Warren Isaac,Cincinnati Royals,Iona,1965,5,7,42
A.W. Davis,Los Angeles Lakers,Tennessee,1965,5,8,43
Don Davidson,Boston Celtics,Davidson,1965,5,9,44
Jim Jarvis,San Francisco Warriors,Oregon State,1965,6,1,45
Warren Davis,New York Knicks,North Carolina A&T,1965,6,2,46
Barry Smith,Detroit Pistons,High Point,1965,6,3,47
Lavonne LeFlore,Baltimore Bullets,Jackson State,1965,6,4,48
Mitch Edwards,Philadelphia 76ers,Texas-Pan American,1965,6,5,49
John Rambo,St. Louis Hawks,Long Beach State,1965,6,6,50
Leon Clements,Cincinnati Royals,Ouachita Baptist,1965,6,7,51
Theo Cruz,Los Angeles Lakers,Seattle,1965,6,8,52
Haskell Tison,Boston Celtics,Duke,1965,6,9,53
Dan Wolters,San Francisco Warriors,California,1965,7,1,54
Dale Neel,New York Knicks,High Point,1965,7,2,55
Willie Somerset ,Baltimore Bullets,Duquesne,1965,7,3,56
John Young,Philadelphia 76ers,Midwestern State,1965,7,4,57
Terry Kunze,St. Louis Hawks,Minnesota,1965,7,5,58
Jeff Gehring,Cincinnati Royals,Miami (FL),1965,7,6,59
Dwayne Cruze,Los Angeles Lakers,Idaho State,1965,7,7,60
George Deehan,Boston Celtics,Lenoir-Rhyne,1965,7,8,61
Willie Cotton,San Francisco Warriors,Central State (OH),1965,8,1,62
Frank Granat,New York Knicks,Alliance,1965,8,2,63
Jim Murphy,Baltimore Bullets,DePaul,1965,8,3,64
Bob Barnek,Philadelphia 76ers,St. Bonaventure,1965,8,4,65
Cincinnatus Powell,St. Louis Hawks,Portland,1965,8,5,66
Jim Fox ,Cincinnati Royals,South Carolina,1965,8,6,67
George Unseld,Los Angeles Lakers,Kansas,1965,8,7,68
Jay Neary,New York Knicks,North Carolina-Wilmington,1965,9,1,69
John Wendelkin,Baltimore Bullets,Holy Cross,1965,9,2,70
Gene West,Philadelphia 76ers,Drake,1965,9,3,71
Leroy Walker,St. Louis Hawks,Utah State,1965,9,4,72
Ron Krick,Cincinnati Royals,Cincinnati,1965,9,5,73
Marlbert Pradd,Los Angeles Lakers,Dillard,1965,9,6,74
Wayne Molis ,New York Knicks,Lewis,1965,10,1,75
Bogie Redmon,Baltimore Bullets,Illinois,1965,10,2,76
Dean Church,Philadelphia 76ers,Louisiana-Lafayette,1965,10,3,77
Spencer Carlson,St. Louis Hawks,Baylor,1965,10,4,78
Richie Dec,Cincinnati Royals,Seton Hall,1965,10,5,79
Don Rae,Los Angeles Lakers,Montana State,1965,10,6,80
Bill Meyer,New York Knicks,Hiram,1965,11,1,81
Thales McReynolds ,Baltimore Bullets,Miles,1965,11,2,82
Curt Fromal,Philadelphia 76ers,La Salle,1965,11,3,83
Weldon Kytle,St. Louis Hawks,Cleveland State,1965,11,4,84
Dick Maile,Cincinnati Royals,Louisiana State,1965,11,5,85
Bob Andrews,Los Angeles Lakers,Alabama,1965,11,6,86
Bob Trupin,New York Knicks,Yale,1965,12,1,87
Walt Sahm,Baltimore Bullets,Notre Dame,1965,12,2,88
Dan Anderson,Philadelphia 76ers,Augsburg,1965,12,3,89
Elton McGriff,St. Louis Hawks,Creighton,1965,12,4,90
Robert McCollough,Cincinnati Royals,Benedict,1965,12,5,91
Dennis McGovern,New York Knicks,Rhode Island,1965,13,1,92
Joe Ramsey,Baltimore Bullets,Southern Illinois,1965,13,2,93
Rich Parks,Philadelphia 76ers,Tulsa,1965,13,3,94
Mel Northway,St. Louis Hawks,Minnesota,1965,13,4,95
Oliver Jones,Cincinnati Royals,Albany State (GA),1965,13,5,96
Jerry Rook,Baltimore Bullets,Arkansas State,1965,14,1,97
Jack Morgenthal,Philadelphia 76ers,Houston,1965,14,2,98
Terry Page,St. Louis Hawks,Detroit Mercy,1965,14,3,99
Larry Franks,Cincinnati Royals,Texas,1965,14,4,100
Dave Hicks,Baltimore Bullets,,1965,15,1,101
James Pitts,Philadelphia 76ers,Georgia,1965,15,2,102
George Pomey,St. Louis Hawks,Michigan,1965,15,3,103
Ronald Scharf,Cincinnati Royals,Georgia Tech,1965,15,4,104
Bunk Adams,Baltimore Bullets,Ohio,1965,16,1,105
Larry Rafferty,Philadelphia 76ers,Fairfield,1965,16,2,106
Bob Tolan,St. Louis Hawks,Eastern Kentucky,1965,16,3,107
Willie Porter,Cincinnati Royals,Tennessee State,1965,16,4,108
Roger Taylor,Baltimore Bullets,Illinois,1965,17,1,109
Bill Bradley ,New York Knicks,Princeton,1965,0,0,0
Gail Goodrich ,Los Angeles Lakers,California-Los Angeles,1965,0,0,0
Bill Buntin ,Detroit Pistons,Michigan,1965,0,0,0
Jim Barnes ,New York Knicks,Texas-El Paso,1964,1,1,1
Joe Caldwell ,Detroit Pistons,Arizona State,1964,1,2,2
Gary Bradds ,Baltimore Bullets,Ohio State,1964,1,3,3
Lucious Jackson ,Philadelphia 76ers,Texas-Pan American,1964,1,4,4
Jeff Mullins ,St. Louis Hawks,Duke,1964,1,5,5
Barry Kramer ,San Francisco Warriors,New York University,1964,1,6,6
Mel Counts ,Boston Celtics,Oregon State,1964,1,7,7
Willis Reed ,New York Knicks,Grambling,1964,2,1,8
Les Hunter ,Detroit Pistons,Loyola-Chicago,1964,2,2,9
Paul Silas ,St. Louis Hawks,Creighton,1964,2,3,10
Ira Harge,Philadelphia 76ers,New Mexico,1964,2,4,11
Charles Nash ,Los Angeles Lakers,Kentucky,1964,2,5,12
Howard Komives ,New York Knicks,Bowling Green,1964,2,6,13
Bud Koper ,San Francisco Warriors,Oklahoma City,1964,2,7,14
Bill Chmielewski,Cincinnati Royals,Dayton,1964,2,8,15
Ron Bonham ,Boston Celtics,Cincinnati,1964,2,9,16
Brian Generalovich,New York Knicks,Pittsburgh,1964,3,1,17
Wali Jones ,Detroit Pistons,Villanova,1964,3,2,18
Jerry Sloan ,Baltimore Bullets,Evansville,1964,3,3,19
Larry Jones ,Philadelphia 76ers,Toledo,1964,3,4,20
Tom Dose,Los Angeles Lakers,Stanford,1964,3,5,21
Arthur Becker,St. Louis Hawks,Arizona State,1964,3,6,22
Mccoy McLemore ,San Francisco Warriors,Drake,1964,3,7,23
Steve Courtin ,Cincinnati Royals,Saint Joseph's,1964,3,8,24
John Thompson ,Boston Celtics,Providence,1964,3,9,25
Freddie Crawford ,New York Knicks,St. Bonaventure,1964,4,1,26
Jim Davis ,Detroit Pistons,Colorado,1964,4,2,27
Pete Spoden,Baltimore Bullets,Northern Iowa,1964,4,3,28
Frank Corace,Philadelphia 76ers,La Salle,1964,4,4,29
Hank Finkel ,Los Angeles Lakers,Dayton,1964,4,5,30
Willie Murrell,St. Louis Hawks,Kansas State,1964,4,6,31
Gene Elmore,San Francisco Warriors,Southern Methodist,1964,4,7,32
Happy Hairston ,Cincinnati Royals,New York University,1964,4,8,33
Joe Strawder ,Boston Celtics,Bradley,1964,4,9,34
Tony Gennari,New York Knicks,Canisius,1964,5,1,35
Ray Wolford,Detroit Pistons,Toledo,1964,5,2,36
Bennie Lennox,Baltimore Bullets,Texas A&M,1964,5,3,37
Lou Skurcenski,Philadelphia 76ers,Westminster (PA),1964,5,4,38
John Savage,Los Angeles Lakers,North Texas,1964,5,5,39
John Tresvant ,St. Louis Hawks,Seattle,1964,5,6,40
Roger Suttner,San Francisco Warriors,Kansas State,1964,5,7,41
George Kirk,Cincinnati Royals,Memphis,1964,5,8,42
