time,env_temperature,env_pressure,altitude,env_humidity,env_co2
0.0,30.36,982.65,264.15,16.29,614
1.0,30.36,982.73,263.5,16.28,614
2.0,30.36,982.64,264.21,16.38,614
3.0,30.35,982.69,263.81,16.1,614
4.0,30.37,982.71,264.07,16.27,614
5.0,30.37,982.66,264.48,16.39,614
6.0,30.36,982.67,263.98,16.35,614
7.0,30.38,982.67,263.94,16.26,614
8.0,30.37,982.66,264.07,16.27,614
9.0,30.36,982.71,263.67,16.26,614
10.0,30.36,982.7,263.74,16.27,614
11.0,30.37,982.71,263.6,16.75,614
12.0,30.37,982.71,263.36,16.16,614
13.0,30.37,982.71,263.6,16.32,614
14.0,30.38,982.69,263.77,16.36,614
15.0,30.38,982.67,263.94,16.27,614
16.0,30.37,982.69,263.77,16.26,614
17.0,30.37,982.67,264.01,16.47,614
18.0,30.38,982.67,263.94,16.35,614
19.0,30.38,982.7,263.94,16.14,614
20.0,30.37,982.67,263.91,16.2,614
21.0,30.38,982.73,263.6,16.02,614
22.0,30.38,982.67,264.01,16.47,614
23.0,30.38,982.68,263.87,16.29,614
24.0,30.38,982.71,263.63,16.28,614
25.0,30.37,982.66,264.07,16.3,614
26.0,30.38,982.62,264.42,16.29,614
27.0,30.39,982.69,263.8,16.24,614
28.0,30.38,982.67,263.7,16.35,614
29.0,30.37,982.66,264.07,16.16,614
30.0,30.37,982.61,264.48,16.22,614
31.0,30.37,982.71,263.6,16.02,614
32.0,30.37,982.77,263.12,16.13,614
33.0,30.36,982.74,263.36,16.5,614
34.0,30.37,982.71,263.6,16.31,614
35.0,30.36,982.7,263.74,16.32,614
36.0,30.36,982.61,264.45,16.32,614
37.0,30.37,982.67,264.01,16.25,614
38.0,30.38,982.67,263.94,16.05,614
39.0,30.38,982.62,263.7,16.51,614
40.0,30.37,982.66,264.21,16.28,614
41.0,30.36,982.67,263.98,16.27,614
42.0,30.36,982.7,263.74,16.21,614
43.0,30.36,982.65,264.15,16.31,614
44.0,30.36,982.64,264.21,16.33,614
45.0,30.36,982.64,264.21,16.33,614
46.0,30.36,982.64,264.21,16.63,614
47.0,30.37,982.69,263.84,16.18,614
48.0,30.36,982.65,263.91,16.57,614
49.0,30.36,982.61,264.21,16.0,614
50.0,30.36,982.7,263.74,16.28,614
51.0,30.36,982.69,263.81,16.16,614
52.0,30.35,982.63,264.28,16.32,614
53.0,30.35,982.58,264.76,16.33,614
54.0,30.36,982.67,263.98,16.35,614
55.0,30.37,982.66,264.07,16.3,614
56.0,30.36,982.7,264.21,16.64,614
57.0,30.37,982.72,263.67,16.6,614
58.0,30.36,982.7,263.74,16.48,614
59.0,30.36,982.64,264.21,16.37,614
60.0,30.37,982.6,264.55,16.35,614
61.0,30.37,982.66,264.07,16.35,612
62.0,30.36,982.67,263.98,16.38,612
63.0,30.36,982.67,263.98,16.37,612
64.0,30.36,982.7,263.74,16.38,612
65.0,30.37,982.66,264.07,16.44,612
66.0,30.37,982.69,263.84,15.9,612
67.0,30.37,982.74,264.07,16.21,612
68.0,30.36,982.7,263.74,16.51,612
69.0,30.37,982.76,263.19,16.33,612
70.0,30.34,982.67,263.95,16.38,612
71.0,30.35,982.63,264.28,16.37,612
72.0,30.36,982.73,263.5,16.37,612
73.0,30.36,982.7,263.74,16.36,612
74.0,30.35,982.68,263.87,16.51,612
75.0,30.31,982.6,264.6,16.53,612
76.0,30.35,982.69,263.6,16.38,612
77.0,30.36,982.7,264.29,16.13,612
78.0,30.36,982.64,264.21,16.23,612
79.0,30.35,982.69,263.81,16.37,612
80.0,30.35,982.66,264.04,16.38,612
81.0,30.35,982.68,263.87,15.89,612
82.0,30.35,982.68,263.87,16.02,612
83.0,30.35,982.6,264.9,16.45,612
84.0,30.35,982.63,264.35,16.77,612
85.0,30.36,982.63,264.35,16.3,612
86.0,30.35,982.65,264.11,16.39,612
87.0,30.35,982.69,263.81,16.4,612
88.0,30.36,982.67,263.98,16.39,612
89.0,30.26,982.49,265.53,16.33,612
90.0,30.36,982.64,264.21,16.24,612
91.0,30.36,982.7,264.45,16.7,612
92.0,30.35,982.57,264.81,16.59,607
93.0,30.35,982.57,264.11,16.57,607
94.0,30.35,982.61,264.59,16.4,607
95.0,30.34,982.58,264.73,16.37,607
96.0,30.35,982.65,264.11,16.37,607
97.0,30.3,982.57,264.81,16.4,607
98.0,30.34,982.62,264.42,16.68,607
99.0,30.35,982.65,264.35,16.32,607
100.0,30.34,982.67,263.95,16.21,607
101.0,30.34,982.64,264.25,16.39,607
102.0,30.34,982.72,263.54,16.38,607
103.0,30.34,982.65,264.18,16.34,607
104.0,30.34,982.61,264.49,16.38,607
105.0,30.34,982.55,264.97,16.39,607
106.0,30.34,982.58,264.73,16.37,607
107.0,30.32,982.58,264.7,16.38,607
108.0,30.33,982.6,264.56,16.13,607
109.0,30.33,982.65,264.15,16.65,607
110.0,30.34,982.67,264.01,16.37,607
111.0,30.34,982.65,264.18,16.28,607
112.0,30.35,982.63,264.35,16.38,607
113.0,30.34,982.62,264.42,16.38,607
114.0,30.35,982.71,263.64,16.36,607
115.0,30.35,982.68,263.87,16.37,607
116.0,30.34,982.58,264.73,16.22,607
117.0,30.34,982.67,264.01,16.19,607
118.0,30.34,982.72,264.01,16.73,607
119.0,30.35,982.65,264.49,16.34,607
120.0,30.35,982.68,264.15,16.66,607
121.0,30.33,982.63,264.32,16.5,607
122.0,30.32,982.63,264.29,16.39,603
123.0,30.33,982.71,263.67,16.39,603
124.0,30.34,982.65,264.18,16.38,603
125.0,30.34,982.67,264.01,16.39,603
126.0,30.35,982.63,264.35,16.32,603
127.0,30.33,982.57,264.63,16.67,603
128.0,30.33,982.65,264.01,16.74,603
129.0,30.32,982.63,264.29,16.24,603
130.0,30.34,982.61,264.49,16.41,603
131.0,30.34,982.61,264.49,16.39,603
132.0,30.34,982.67,263.95,16.4,603
133.0,30.34,982.67,264.01,16.41,603
134.0,30.34,982.56,264.9,16.4,603
135.0,30.34,982.64,264.63,16.29,603
136.0,30.33,982.6,264.49,16.19,603
137.0,30.34,982.61,264.49,16.37,603
138.0,30.32,982.58,264.77,16.39,603
139.0,30.32,982.61,264.46,16.43,603
140.0,30.32,982.6,264.53,16.43,603
141.0,30.32,982.6,264.53,16.47,603
142.0,30.31,982.59,264.67,16.33,603
143.0,30.31,982.59,265.14,16.57,603
144.0,30.32,982.58,264.77,16.55,603
145.0,30.3,982.57,264.81,16.34,603
146.0,30.31,982.64,264.19,16.45,603
147.0,30.31,982.67,263.95,16.42,603
148.0,30.31,982.62,264.43,16.55,603
149.0,30.3,982.6,264.57,16.26,603
150.0,30.3,982.63,264.98,16.5,603
151.0,30.3,982.61,264.5,16.27,603
152.0,30.29,982.59,264.64,16.45,603
153.0,30.3,982.6,264.57,16.46,597
154.0,30.3,982.54,265.05,16.51,597
155.0,30.29,982.61,264.47,16.45,597
156.0,30.3,982.6,264.57,16.44,597
157.0,30.29,982.64,264.23,16.47,597
158.0,30.29,982.64,264.23,16.29,597
159.0,30.3,982.68,264.33,16.22,597
160.0,30.29,982.65,263.85,16.31,597
161.0,30.3,982.66,264.02,16.46,597
162.0,30.29,982.7,263.75,16.46,597
163.0,30.29,982.75,263.27,16.45,597
164.0,30.29,982.64,264.23,16.11,597
165.0,30.3,982.68,264.09,16.53,597
166.0,30.3,982.71,263.75,16.21,597
167.0,30.29,982.65,264.16,16.62,597
168.0,30.29,982.62,264.4,16.46,597
169.0,30.31,982.62,264.43,16.45,597
170.0,30.29,982.62,264.4,16.72,597
171.0,30.31,982.62,264.43,16.78,597
172.0,30.3,982.6,264.71,16.08,597
173.0,30.3,982.63,264.33,16.39,597
174.0,30.3,982.6,264.57,16.45,597
175.0,30.29,982.53,265.18,16.42,597
176.0,30.29,982.53,265.18,16.42,597
177.0,30.29,982.58,264.71,16.41,597
178.0,30.29,982.54,264.64,16.69,597
179.0,30.29,982.58,264.64,15.98,597
180.0,30.29,982.6,264.57,16.68,597
181.0,30.3,982.63,264.33,16.55,597
182.0,30.29,982.68,263.92,16.45,597
183.0,30.28,982.63,264.3,16.43,597
184.0,30.29,982.59,264.64,16.44,590
185.0,30.29,982.61,264.47,16.45,590
186.0,30.3,982.6,264.57,16.44,590
187.0,30.29,982.64,264.23,16.3,590
188.0,30.29,982.58,264.71,16.6,590
189.0,30.29,982.67,264.64,16.62,590
190.0,30.29,982.62,264.37,16.24,590
191.0,30.28,982.57,264.85,16.45,590
192.0,30.28,982.62,264.37,16.44,590
193.0,30.29,982.56,264.95,16.44,590
194.0,30.28,982.63,264.3,16.65,590
195.0,30.27,982.56,264.91,16.85,590
196.0,30.28,982.65,264.37,16.76,590
197.0,30.26,982.54,264.91,16.59,590
198.0,30.28,982.6,264.61,16.42,590
199.0,30.28,982.62,264.37,16.43,590
200.0,30.27,982.61,264.51,16.3,590
201.0,30.28,982.6,264.61,16.32,590
202.0,30.27,982.56,264.78,16.6,590
203.0,30.28,982.58,264.71,16.34,590
204.0,30.28,982.57,264.85,16.43,590
205.0,30.28,982.57,264.85,16.42,590
206.0,30.29,982.56,264.95,16.0,590
207.0,30.28,982.65,264.13,16.72,590
208.0,30.27,982.52,264.98,16.93,590
209.0,30.29,982.64,264.54,16.33,590
210.0,30.29,982.54,265.09,16.12,590
211.0,30.28,982.6,264.54,16.43,590
212.0,30.28,982.58,264.78,16.42,590
213.0,30.28,982.62,264.37,16.42,590
214.0,30.29,982.58,264.71,16.43,590
215.0,30.28,982.62,264.37,16.6,585
216.0,30.29,982.64,264.23,16.43,585
217.0,30.29,982.58,264.71,16.43,585
218.0,30.29,982.61,264.47,16.26,585
219.0,30.28,982.63,264.78,16.52,585
220.0,30.28,982.57,264.71,16.01,585
221.0,30.28,982.64,264.23,16.52,585
222.0,30.28,982.62,264.37,16.45,585
223.0,30.28,982.6,264.61,16.43,585
224.0,30.28,982.62,264.37,16.43,585
225.0,30.28,982.62,264.37,16.4,585
226.0,30.29,982.64,264.23,16.07,585
227.0,30.27,982.61,264.71,16.93,585
228.0,30.29,982.64,264.23,16.46,585
229.0,30.29,982.66,264.06,16.78,585
230.0,30.29,982.61,264.47,16.45,585
231.0,30.27,982.56,264.91,16.44,585
232.0,30.27,982.64,264.27,16.46,585
233.0,30.28,982.57,264.85,16.46,585
234.0,30.28,982.62,264.37,15.78,585
235.0,30.27,982.64,264.2,16.68,585
236.0,30.27,982.62,264.51,16.32,585
237.0,30.27,982.66,264.03,16.2,585
238.0,30.27,982.61,264.51,16.29,585
239.0,30.26,982.63,264.34,16.3,585
240.0,30.26,982.59,264.65,16.3,585
241.0,30.26,982.59,264.65,16.23,585
242.0,30.27,982.61,264.27,16.23,585
243.0,30.25,982.58,264.78,16.3,585
244.0,30.25,982.55,265.02,16.34,585
245.0,30.25,982.58,264.78,16.37,585
246.0,30.24,982.57,264.85,15.98,582
247.0,30.23,982.55,264.99,16.37,582
248.0,30.24,982.59,264.61,16.37,582
249.0,30.24,982.5,265.4,16.75,582
250.0,30.24,982.59,264.68,16.05,582
251.0,30.23,982.61,264.45,16.31,582
252.0,30.24,982.55,264.99,16.45,582
253.0,30.24,982.5,265.4,16.36,582
254.0,30.25,982.6,264.54,16.37,582
255.0,30.22,982.65,264.18,16.38,582
256.0,30.22,982.61,264.48,16.37,582
257.0,30.22,982.53,265.2,16.46,582
258.0,30.23,982.63,264.75,16.28,582
259.0,30.24,982.61,264.58,16.76,582
260.0,30.23,982.61,264.45,16.55,582
261.0,30.24,982.53,265.16,16.41,582
262.0,30.22,982.58,264.72,16.43,582
263.0,30.23,982.57,264.82,16.44,582
264.0,30.22,982.61,264.48,16.72,582
265.0,30.22,982.61,264.48,16.62,582
266.0,30.21,982.59,264.55,16.56,582
267.0,30.21,982.59,264.62,16.63,582
268.0,30.21,982.57,264.86,16.41,582
269.0,30.22,982.58,264.72,16.46,582
270.0,30.22,982.58,264.72,16.44,582
271.0,30.22,982.58,264.72,16.45,582
272.0,30.22,982.53,265.13,16.91,582
273.0,30.23,982.54,265.06,16.78,582
274.0,30.23,982.6,264.82,16.33,582
275.0,30.22,982.53,265.06,16.31,582
276.0,30.23,982.51,265.3,16.12,582
277.0,30.23,982.65,264.1,16.44,574
278.0,30.22,982.53,264.96,16.0,574
279.0,30.22,982.53,265.2,16.55,574
280.0,30.23,982.54,265.06,16.43,574
281.0,30.22,982.58,264.72,16.42,574
282.0,30.22,982.58,264.72,16.39,574
283.0,30.22,982.55,264.96,16.29,574
284.0,30.22,982.61,265.1,16.37,574
285.0,30.21,982.57,264.72,16.21,574
286.0,30.22,982.59,264.65,16.53,574
287.0,30.22,982.55,264.96,16.41,574
288.0,30.23,982.54,265.06,16.21,574
289.0,30.23,982.54,265.06,16.35,574
290.0,30.23,982.63,264.48,16.69,574
291.0,30.22,982.58,264.72,16.42,574
292.0,30.22,982.61,264.48,16.41,574
293.0,30.21,982.6,264.55,16.42,574
294.0,30.22,982.58,264.72,16.42,574
295.0,30.22,982.53,265.13,16.06,574
296.0,30.22,982.64,264.96,16.61,574
297.0,30.22,982.58,264.72,16.24,574
298.0,30.23,982.54,265.06,16.42,574
299.0,30.22,982.64,264.24,16.39,574
300.0,30.22,982.59,264.65,16.41,574
301.0,30.22,982.64,264.24,16.41,574
302.0,30.21,982.68,263.9,16.68,574
303.0,30.21,982.62,264.18,16.57,574
304.0,30.21,982.63,264.31,16.3,574
305.0,30.2,982.61,264.52,16.54,574
306.0,30.21,982.59,264.62,16.45,574
307.0,30.22,982.64,264.24,16.46,574
308.0,30.22,982.58,264.72,16.46,567
309.0,30.21,982.57,264.86,16.45,567
310.0,30.22,982.61,264.48,16.44,567
311.0,30.22,982.64,264.24,16.59,567
312.0,30.21,982.63,264.79,16.87,567
313.0,30.21,982.63,264.1,16.46,567
314.0,30.23,982.63,264.34,16.6,567
315.0,30.23,982.54,265.06,16.43,567
316.0,30.21,982.52,265.27,16.44,567
317.0,30.21,982.57,264.79,16.44,567
318.0,30.22,982.53,265.2,16.83,567
319.0,30.22,982.58,264.72,16.47,567
320.0,30.22,982.58,264.48,16.23,567
321.0,30.22,982.64,264.24,16.48,567
322.0,30.21,982.65,264.14,16.42,567
323.0,30.22,982.65,264.18,16.42,567
324.0,30.21,982.57,264.79,16.42,567
325.0,30.21,982.62,264.38,16.71,567
326.0,30.22,982.61,264.48,16.33,567
327.0,30.21,982.59,264.38,16.67,567
328.0,30.2,982.61,264.31,16.59,567
329.0,30.2,982.66,264.04,16.32,567
330.0,30.2,982.61,264.52,16.43,567
331.0,30.2,982.61,264.52,16.44,567
332.0,30.19,982.6,264.59,16.44,567
333.0,30.18,982.65,264.18,16.67,567
334.0,30.18,982.62,265.14,16.13,567
335.0,30.2,982.61,264.66,16.23,567
336.0,30.19,982.61,264.52,16.19,567
337.0,30.2,982.61,264.52,16.41,567
338.0,30.2,982.69,263.81,16.42,567
339.0,30.2,982.58,264.76,16.39,561
340.0,30.19,982.6,264.59,16.36,561
341.0,30.2,982.61,264.45,16.36,561
342.0,30.18,982.53,265.14,16.35,561
343.0,30.18,982.53,265.14,16.45,561
