,Activity,Start,End,Day
0,3,10:00,10:20,1
1,7,11:05,11:30,1
2,8,11:30,12:10,1
3,3,12:10,12:35,1
4,8,12:35,13:05,1
5,6,13:05,13:30,1
6,2,14:05,14:35,1
7,3,14:35,14:50,1
8,2,14:50,17:15,1
9,3,17:15,17:25,1
10,2,17:45,19:45,1
11,6,19:45,20:15,1
12,7,20:15,23:00,1
13,1,23:00,23:55,1
14,0,23:55,06:55,1
15,1,06:55,07:05,2
16,5,07:25,07:45,2
17,5,07:50,08:10,2
18,6,08:15,08:20,2
19,3,08:25,08:35,2
20,9,10:20,10:35,1
21,6,10:20,10:35,1
22,6,11:00,11:05,1
23,9,13:35,13:55,1
24,6,17:30,17:45,1
25,12,22:55,23:00,1
26,12,07:20,07:25,2
27,12,08:10,08:15,2
