,ibi_s,day,time
1,0.829,1,09:26:08
2,0.774,1,09:26:09
3,0.779,1,09:26:09
4,0.8,1,09:26:10
5,0.843,1,09:26:11
6,0.784,1,09:26:12
7,0.755,1,09:26:13
8,0.765,1,09:26:13
9,0.808,1,09:26:14
10,0.847,1,09:26:15
11,0.901,1,09:26:16
12,0.859,1,09:26:17
13,0.811,1,09:26:18
14,0.813,1,09:26:18
15,0.848,1,09:26:19
16,0.891,1,09:26:20
17,0.954,1,09:26:21
18,0.921,1,09:26:22
19,0.851,1,09:26:23
20,0.861,1,09:26:24
21,0.873,1,09:26:25
22,0.88,1,09:26:25
23,0.869,1,09:26:26
24,0.83,1,09:26:27
25,0.809,1,09:26:28
26,0.844,1,09:26:29
27,0.889,1,09:26:30
28,0.91,1,09:26:31
29,0.869,1,09:26:31
30,0.839,1,09:26:32
31,0.822,1,09:26:33
32,0.752,1,09:26:43
33,0.787,1,09:26:44
34,0.935,1,09:26:44
35,1.023,1,09:26:45
36,0.992,1,09:26:46
37,0.874,1,09:26:47
38,0.798,1,09:26:47
39,0.802,1,09:26:48
40,0.849,1,09:26:49
41,0.904,1,09:26:50
42,0.93,1,09:26:52
43,0.855,1,09:26:52
44,0.855,1,09:26:54
45,0.878,1,09:26:54
46,0.911,1,09:26:54
47,0.932,1,09:26:56
48,0.892,1,09:26:57
49,0.842,1,09:26:57
50,0.866,1,09:26:58
51,0.881,1,09:26:59
52,0.902,1,09:27:00
53,0.946,1,09:27:01
54,0.917,1,09:27:01
55,0.837,1,09:27:02
56,0.784,1,09:27:03
57,0.78,1,09:27:04
58,0.776,1,09:27:05
59,0.823,1,09:27:05
60,0.879,1,09:27:13
61,0.826,1,09:27:14
62,0.78,1,09:27:15
63,0.762,1,09:27:16
64,0.741,1,09:27:16
65,0.751,1,09:27:17
66,0.252,1,09:27:17
67,0.572,1,09:27:18
68,0.502,1,09:27:18
69,0.345,1,09:27:19
70,0.811,1,09:27:20
71,0.762,1,09:27:20
72,0.784,1,09:27:21
73,0.91,1,09:27:22
74,1.062,1,09:27:23
75,0.677,1,09:27:24
76,0.418,1,09:27:24
77,1.064,1,09:27:25
78,1.021,1,09:27:26
79,0.99,1,09:27:27
80,0.935,1,09:27:28
81,0.91,1,09:27:29
82,0.916,1,09:27:30
83,0.931,1,09:27:31
84,0.932,1,09:27:32
85,0.981,1,09:27:33
86,0.92,1,09:27:34
87,0.874,1,09:27:35
88,0.878,1,09:27:35
